"pwsid","a_int.identified_as_disadvantaged","pw_int_hh.percent_pre_1960s_housing_lead_paint_indicator","pw_int_pop.low_life_expectancy_percentile"
"AZ0411009",0.81,7,54
"AZ0411012",1,4,67
"AZ0411017",0.99,9,36.94
"AZ0411018",1,25,53.82
"AZ0411019",0.5,12,8.99
"AZ0411020",1,65,33
"AZ0411021",0.31,61,90.95
"AZ0411022",0,28,23
"AZ0411024",1,0,76
"AZ0411030",1,9,55.52
"AZ0411031",0,28,23
"AZ0411036",0.26,1,45
"AZ0411037",1,NA,57
"AZ0411039",0.19,3,46.24
"AZ0411042",0.35,4,61.43
"AZ0411044",0,0,NA
"AZ0411052",0.12,5,48
"AZ0411061",1,12,79
"AZ0411062",0,0,46
"AZ0411066",1,0,NA
"AZ0411076",1,4,56.71
"AZ0411079",1,4,57
"AZ0411087",0.87,4,67
"AZ0411090",0,5,48
"AZ0411097",1,4,67
"AZ0411100",0.65,3,67
"AZ0411111",0,0,NA
"AZ0411115",1,NA,NA
"AZ0411117",0.22,0,31.04
"AZ0411128",0.43,0,34.29
"AZ0411129",0,5,48
"AZ0411130",0,0,1
"AZ0411131",0.02,1,40.01
"AZ0411135",1,1,15
"AZ0411136",1,0,0
"AZ0411160",0,3,74
"AZ0411201",0,3,53
"AZ0411301",1,4,67
"AZ0411315",0,28,23
"AZ0411321",0.81,9,NA
"AZ0411322",0.87,4,67
"AZ0411324",1,12,8
"AZ0411328",1,2,71.96
"AZ0411334",0,3,74
"AZ0411365",1,32,79
"AZ0411381",0,28,23
"AZ0411383",1,0,76
"AZ0411407",0,5,48
"AZ0411409",1,4,67
"AZ0411556",0.99,0,38
"AZ0411557",0,0,NA
"AZ0411705",1,NA,NA
"AZ0411708",0,0,NA
"AZ0411712",1,4,67
"AZ0412001",0.08,1,14.07
"AZ0412004",1,22,29.15
"AZ0412005",0,13,NA
"AZ0412006",0,13,NA
"AZ0412009",1,9,25.39
"AZ0412011",0.88,1,18.81
"AZ0412015",1,2,7
"AZ0412020",0,13,NA
"AZ0412037",0,1,14
"AZ0412040",0,1,14
"AZ0412044",0,NA,NA
"AZ0412305",1,6,44
"AZ0412306",0,1,14
"AZ0412308",0,13,NA
"AZ0412311",1,6,44
"AZ0412321",0,13,NA
"AZ0413001",0.62,5,51.07
"AZ0413008",1,16,60
"AZ0413010",1,16,60
"AZ0413011",0,11,NA
"AZ0413012",0,1,25.46
"AZ0413015",0.99,3,56.78
"AZ0413016",0,3,46
"AZ0413017",0,0,57
"AZ0413020",1,5,76.96
"AZ0413021",0.07,12,1.18
"AZ0413023",0.89,5,59.65
"AZ0413024",0,7,45.3
"AZ0413025",0.39,6,67.61
"AZ0413026",0,NA,NA
"AZ0413027",1,6,32
"AZ0413028",0,NA,NA
"AZ0413029",0,2,36
"AZ0413030",0,0,57
"AZ0413034",0,6,34
"AZ0413035",0,6,NA
"AZ0413036",0,10,32
"AZ0413037",0,8,47
"AZ0413038",1,7,NA
"AZ0413039",1,8,58.73
"AZ0413040",1,7,33
"AZ0413041",0,3,46
"AZ0413042",0,6,14
"AZ0413043",1,7,33
"AZ0413044",1,7,33
"AZ0413045",0.04,11,36.99
"AZ0413046",1,2,46
"AZ0413048",0.35,1,62.86
"AZ0413049",0,6,49
"AZ0413051",1,6,39.56
"AZ0413052",1,7,33
"AZ0413055",1,7,33
"AZ0413057",0.42,11,6.76
"AZ0413058",0,12,0
"AZ0413059",1,6,NA
"AZ0413060",1,3,62
"AZ0413062",1,5,81
"AZ0413071",1,2,46
"AZ0413072",1,6,46
"AZ0413074",0,3,46
"AZ0413075",0,NA,NA
"AZ0413077",0,3,41
"AZ0413078",0,12,0
"AZ0413079",0,3,41
"AZ0413096",1,8,NA
"AZ0413103",0,1,50
"AZ0413104",1,4,63.32
"AZ0413105",1,3,62
"AZ0413106",0.38,1,48.53
"AZ0413108",0,3,11
"AZ0413109",0,3,46
"AZ0413113",1,6,32
"AZ0413114",0,2,2.71
"AZ0413119",0,3,46
"AZ0413121",0,6,14
"AZ0413122",1,7,33
"AZ0413127",1,4,64
"AZ0413130",1,6,NA
"AZ0413137",0,3,41
"AZ0413141",0,0,37.58
"AZ0413148",1,6,32
"AZ0413150",0,3,13
"AZ0413155",0,0,66.8
"AZ0413164",0,6,14
"AZ0413184",0.19,11,7.69
"AZ0413190",1,2,46
"AZ0413192",1,5,76.96
"AZ0413193",1,NA,NA
"AZ0413202",1,5,76.96
"AZ0413208",1,5,53
"AZ0413221",0,8,47
"AZ0413247",0,8,47
"AZ0413248",0,NA,NA
"AZ0413256",0,2,1
"AZ0413258",0,3,13
"AZ0413263",0,3,13
"AZ0413264",1,NA,NA
"AZ0413267",0,NA,NA
"AZ0413268",0.9,NA,NA
"AZ0413281",0,NA,NA
"AZ0413298",0,12,6.33
"AZ0413303",0,3,13
"AZ0413307",1,5,53
"AZ0413330",0,NA,NA
"AZ0413338",0,NA,NA
"AZ0413340",1,2,59
"AZ0413341",1,8,NA
"AZ0413348",1,2,59
"AZ0413351",1,NA,NA
"AZ0413358",1,6,32
"AZ0413373",0,3,46
"AZ0413378",1,NA,NA
"AZ0413408",0,10,32
"AZ0413415",1,NA,NA
"AZ0413419",0,0,77
"AZ0413423",1,4,64
"AZ0413425",0,8,47
"AZ0413431",1,5,53
"AZ0413487",0,0,77
"AZ0414001",1,5,57
"AZ0414003",0,20,NA
"AZ0414004",0.66,1,38.66
"AZ0414005",1,3,62.15
