"pwsid","a_int.identified_as_disadvantaged","pw_int_hh.percent_pre_1960s_housing_lead_paint_indicator","pw_int_pop.low_life_expectancy_percentile"
"WA5334005",0,13,15
"WA5334019",0,14,15
"WA5334040",0,14,15
"WA5334050",0,16,36
"WA5334100",1,10,66
"WA5334300",0,NA,NA
"WA5334301",0,31,26
"WA5334350",0.93,56,79.4
"WA5334375",0,8,47.31
"WA5334400",0,NA,NA
"WA5334505",0,9,38
"WA5334544",0,21,53
"WA5334650",0,NA,NA
"WA5334751",0,36,26
"WA5334860",0,NA,NA
"WA5334889",1,16,56
"WA5335092",0,NA,NA
"WA5335100",0,53,70
"WA5335126",0,3,8
"WA5335275",1,22,27
"WA5335335",0,NA,NA
"WA5335350",0,NA,NA
"WA5335354",0,5,52
"WA5335357",0,NA,NA
"WA5335363",0,15,24.56
"WA5335370",0,NA,NA
"WA5335450",0,32,22
"WA5335500",0,35,62.06
"WA5335550",1,14,34
"WA5335600",0,17,57
"WA5335639",0,14,82
"WA5335640",0,15,55
"WA5335650",0,13,2
"WA5335671",0,NA,NA
"WA5335880",0,NA,NA
"WA5335900",1,38,3
"WA5336020",0,5,41
"WA5336050",0.91,5,83.98
"WA5336150",0,14,33
"WA5336180",0,4,59
"WA5336233",0,4,22
"WA5336260",0,NA,NA
"WA5336268",0,22,10
"WA5336274",0,NA,NA
"WA5336294",0,14,71
"WA5336300",0,2,25
"WA5336314",0,11,16.59
"WA5336350",0,6,21.13
"WA5336421",0,4,39.95
"WA5336705",0,6,17
"WA5336711",0,25,42
"WA5336740",0,NA,NA
"WA5336754",0,NA,NA
"WA5336782",0,16,13
"WA5336836",1,NA,NA
"WA5336850",0,5,11
"WA5336991",1,NA,NA
"WA5337105",0,20,57
"WA5337165",1,14,52
"WA5337250",0,15,5
"WA5337400",0,21,18
"WA5337544",0,NA,NA
"WA5337550",0,17,41
"WA5337590",0,7,59
"WA5337595",0,NA,NA
"WA5337654",0,7,13.47
"WA5337750",0,NA,NA
"WA5337910",0,17,93
"WA5337911",0,15,55
"WA5337950",0,NA,NA
"WA5338000",0.55,47,68.67
"WA5338081",0,NA,NA
"WA5338100",0.22,19,43.79
"WA5338150",0.64,9,41.13
"WA5338171",0,NA,NA
"WA5338261",0,14,71
"WA5338316",0,0,NA
"WA5338400",1,19,23
"WA5338450",0,21,34
"WA5338550",0,14,33
"WA5338600",0,NA,NA
"WA5338792",0,NA,NA
"WA5338800",0.36,53,20.49
"WA5338900",0,29,4.66
"WA5338950",0.49,46,38.71
"WA5339003",0,5,22
"WA5339411",1,27,45
"WA5339424",0,22,57
"WA5339592",0,11,4
"WA5339600",0,44,48
"WA5339740",0,9,32
"WA5339800",0.12,37,30.31
"WA5339950",0,22,52.63
"WA5339991",0,15,55
"WA5340100",0.01,7,26.65
"WA5340529",0,11,20.36
"WA5340650",0.27,21,42.85
"WA5340800",0,9,18.03
"WA5340900",0,1,11.6
"WA5340950",0,30,20.91
"WA5341140",0,0,NA
"WA5341150",0,9,9.21
"WA5341600",0,3,15.46
"WA5341640",1,42,37.1
"WA5341650",0,6,24.37
"WA5341750",0,11,12.9
"WA5341800",0,8,21.33
"WA5341814",0,4,25
"WA5341900",0.04,4,37.16
"WA5341980",0,2,10
"WA5341985",0,8,12.93
"WA5341991",0,11,4
"WA5341996",0,1,13.99
"WA5341997",0.15,7,43.34
"WA5341998",0.95,33,46.12
"WA5342103",0,NA,NA
"WA5342175",0,0,NA
"WA5342250",0,12,11.07
"WA5342421",0,NA,NA
"WA5342447",0,14,39
"WA5342635",0,5,51
"WA5342650",0,18,30
"WA5342700",0,14,38.59
"WA5342704",0,15,37.95
"WA5342705",0,NA,NA
"WA5342751",0,NA,NA
"WA5342800",1,24,27
"WA5342948",0,11,4
"WA5343040",0,7,28
"WA5343054",0,NA,NA
"WA5343065",0,12,39
"WA5343290",0,22,10
"WA5343291",0,NA,NA
"WA5343294",0,4,26.46
"WA5343296",0.12,15,45.95
"WA5343350",0,46,4
"WA5343400",0,62,16
"WA5343500",0.03,4,39.99
"WA5343530",0,NA,NA
"WA5343550",0,13,15
"WA5343600",1,10,66
"WA5343783",1,22,55
"WA5343793",0,NA,NA
"WA5343901",0,23,25
"WA5343940",0,15,5
"WA5343980",0,9,15
"WA5344052",0,NA,NA
"WA5344100",0,6,10
"WA5344130",0,9,38
"WA5344150",0,11,49.3
"WA5344175",0,2,41
"WA5344200",0,10,6
"WA5344240",0,25,35
"WA5344381",0,17,93
"WA5344387",0,4,45
"WA5344431",0,16,48
"WA5344500",0,4,56
"WA5344540",0,16,NA
"WA5344627",0,NA,NA
"WA5344950",0,16,39
"WA5345014",0,NA,NA
"WA5345027",0,11,44
"WA5345061",0,19,15
"WA5345086",0,12,59
"WA5345087",0,NA,NA
"WA5345090",0,7,37
"WA5345164",0,7,27
"WA5345285",0,8,18
"WA5345290",0,19,34
"WA5345303",0,25,35
"WA5345312",0,22,57
"WA5345350",1,36,46
"WA5345364",0,13,31.7
"WA5345365",0,25,35
"WA5345366",0,34,11
"WA5345400",0,7,37
"WA5345480",0,NA,NA
"WA5345550",0.5,26,58.43
"WA5345650",1,61,61
"WA5345950",0,18,1.35
"WA5346002",0,20,57
"WA5346150",1,56,20
"WA5346164",0,20,25
"WA5346268",1,NA,NA
"WA5346275",0,NA,NA
"WA5346300",0,25,35
"WA5346316",0,25,32
"WA5346441",0,4,65
"WA5346500",0,11,4
"WA5346650",0,13,15
"WA5346658",0,NA,NA
"WA5346670",0,15,8
"WA5346695",0,NA,NA
"WA5346737",0,NA,NA
"WA5346985",0,NA,NA
"WA5347000",0,11,51
"WA5347001",0.51,20,30.52
"WA5347124",0,23,27
"WA5347150",0,4,10.71
"WA5347200",0,13,15
"WA5347240",0,NA,NA
"WA5347248",0,17,18
"WA5347280",0,NA,NA
"WA5347283",0,34,11
"WA5347350",1,62,26
"WA5347421",0,NA,NA
"WA5347431",0,NA,NA
"WA5347451",0,14,15
"WA5347535",1,NA,NA
"WA5347628",0,NA,NA
"WA5347640",0,10,62
"WA5347670",0,6,22
"WA5347700",0,11,60
"WA5347820",0.03,31,26.03
"WA5347893",0,9,31
"WA5347925",0,7,24
"WA5348000",0.1,34,79.5
"WA5348030",0,NA,NA
"WA5348031",0,8,35
"WA5348050",0,13,51
"WA5348058",0,9,15
"WA5348100",0.5,43,66.72
"WA5348160",0,18,1
"WA5348200",1,24,41
"WA5348250",0.36,19,57.03
"WA5348300",1,10,66
"WA5348345",0,11,22
"WA5348348",0,8,17
"WA5348466",0,NA,NA
"WA5348475",0,NA,NA
"WA5348704",0,62,16
"WA5349000",1,24,27
"WA5349050",0,30,34
"WA5349100",0,8,71
"WA5349120",1,27,25
"WA5349150",0,15,29.79
"WA5349270",0.21,14,39.75
"WA5349515",1,56,47
"WA5349600",0,6,1
"WA5349650",0,30,7
"WA5349900",0,17,14
"WA5349954",0,18,1
"WA5350075",0,9,15
"WA5350085",0,NA,NA
"WA5350225",0,6,53
"WA5350235",0,NA,NA
"WA5350240",0,16,22
"WA5350295",0,11,50
"WA5350400",1,7,39
"WA5350425",0,NA,NA
"WA5350500",0.01,10,42.05
"WA5350550",1,61,61
"WA5350600",0,21,48
"WA5350691",0,16,25
"WA5350700",0,15,48.45
"WA5350850",1,28,10
"WA5350900",0,NA,NA
"WA5350994",0,9,2
"WA5351100",1,13,30
"WA5351115",0,9,31
"WA5351150",1,13,53
"WA5351195",0,NA,75
"WA5351215",0,5,52
"WA5351400",0,8,16
"WA5351530",0,4,48
"WA5351550",1,19,23.55
"WA5351675",0,13,41
"WA5351700",0,35,7
"WA5351714",1,28,10
"WA5351724",1,2,7
"WA5351730",0,10,65
"WA5351750",0,7,63.1
"WA5351823",0,NA,NA
"WA5351845",0,6,6
"WA5351872",0,20,59
"WA5351875",0,10,67
"WA5351877",1,19,23
"WA5351899",0,14,43
"WA5351900",0.07,9,44.32
"WA5351920",0,16,36
"WA5352000",1,9,1
"WA5352075",0,31,23
"WA5352100",0,35,7
"WA5352105",0,18,39
"WA5352112",0,25,35
"WA5352118",0,18,53
"WA5352154",0,19,NA
"WA5352172",1,NA,NA
"WA5352200",0,10,18
"WA5352250",0,26,57
"WA5352385",0,3,56
"WA5352550",0,35,7
"WA5352590",0,18,1
"WA5352614",0,NA,NA
"WA5352900",0,9,15
"WA5352930",0,NA,NA
"WA5352957",0,13,0
"WA5353190",1,NA,NA
"WA5353213",0,11,68
"WA5353250",0,31,35.69
"WA5353263",0,13,52
"WA5353275",0,11,2.86
"WA5353365",0,24,64
"WA5353400",0,12,53.08
"WA5353475",0,2,47
"WA5353640",0,24,10.44
"WA5353780",0,1,6
"WA5353820",0,NA,NA
"WA5353991",0,NA,NA
"WA5354061",0,NA,NA
"WA5354100",1,28,1
"WA5354192",0,4,8.58
"WA5354250",1,38,3
"WA5354350",1,38,3
"WA5354370",1,18,13
"WA5354572",0,NA,NA
"WA5354591",0,NA,NA
"WA5354680",0,21,16
"WA5354683",0,13,2.82
"WA5354740",0,9,32.21
"WA5354775",0,38,30.89
"WA5354850",0,63,63
"WA5354950",0.07,23,40.27
"WA5355035",0,7,9
"WA5355060",1,10,NA
"WA5355070",1,NA,NA
"WA5355160",0,21,34
"WA5355175",0,4,22
"WA5355205",0,5,27
"WA5355210",0,4,45
"WA5355250",0,4,29
"WA5355320",0,8,71
"WA5355325",0,NA,NA
"WA5355370",0,NA,NA
"WA5355440",0,14,26.31
"WA5355550",0,15,46.87
"WA5355600",0.45,32,61.4
"WA5355631",0,NA,NA
"WA5355820",0.11,12,55.44
"WA5355874",0,1,39
"WA5355935",0,34,27
"WA5355990",1,5,77
"WA5356000",0,31,48
"WA5356143",0,8,12
"WA5356150",0,12,39
"WA5356211",1,27,25
"WA5356250",1,38,85.93
"WA5356300",0.39,27,61.42
"WA5356344",0,0,15
"WA5356350",0,25,35
"WA5356397",0,29,0
"WA5356500",0,18,44
"WA5356528",0,16,25
"WA5356557",0,16,27
"WA5356700",0.81,NA,NA
"WA5356736",1,18,33
"WA5356780",0,NA,NA
"WA5356806",0,8,54
"WA5356820",0,14,12.81
"WA5356851",1,41,13
"WA5356874",0,NA,NA
"WA5356875",0,NA,NA
"WA5356900",0,16,39
"WA5356950",0,5,13
"WA5357000",0,16,21.4
"WA5357214",0,21,34
"WA5357250",0,26,19.9
"WA5357264",0,32,60
"WA5357300",1,8,27
"WA5357400",0,NA,NA
"WA5357414",0,9,30.96
"WA5357550",0.44,3,33.42
"WA5357598",0,6,6
"WA5357740",0,13,15
"WA5357851",0,NA,NA
"WA5357900",0,NA,NA
"WA5357930",0,15,8
"WA5358100",0.01,48,47
"WA5358144",0,4,49
"WA5358200",0.71,15,40.58
"WA5358350",0,31,23
"WA5358650",0,19,NA
"WA5358750",0,32,22
"WA5358780",0.41,19,29.16
"WA5358950",1,9,93
"WA5359000",1,36,0
"WA5359200",0,15,5
"WA5359250",1,13,30
"WA5359350",1,28,70
"WA5359576",0,NA,NA
"WA5359588",0,16,8
"WA5359591",0,7,60
"WA5359595",0,9,14
"WA5359700",0.11,20,23.29
"WA5359800",0,32,35
"WA5359850",0,32,35
"WA5359875",0,2,57
"WA5359953",0,NA,NA
"WA5359994",0,18,17.49
"WA5360095",0,1,4
"WA5360100",0,14,51.46
"WA5360150",0,16,22
"WA5360190",0,NA,NA
"WA5360203",0,NA,NA
"WA5360490",0,23,27
"WA5360665",0,11,1
"WA5360846",0,NA,NA
"WA5360850",0,6,25
"WA5360950",0.04,14,40.7
"WA5361100",0,16,15
"WA5361129",0,NA,NA
"WA5361250",0,4,25
"WA5361300",0.64,11,77.23
"WA5361350",0,16,39
"WA5361390",0,NA,NA
"WA5361400",0,NA,NA
"WA5361425",0,19,NA
"WA5361480",1,14,34
"WA5361533",0,NA,NA
"WA5361603",0,11,50
"WA5361750",0,11,50
"WA5361761",0,NA,NA
"WA5361850",1,19,23
"WA5361947",0,8,54
"WA5362000",1,15,48
"WA5362021",0,8,77
"WA5362034",0,6,53
"WA5362640",0,6,1
"WA5362650",0.03,14,44.51
"WA5362675",0,4,59
"WA5362695",1,28,1
"WA5362700",0,57,13
"WA5362750",0,21,48
"WA5363000",1,14,75.72
"WA5363008",0,5,41
"WA5363050",1,64,10
"WA5363131",0,2,49
"WA5363200",1,56,47.06
"WA5363215",0,6,24
"WA5363240",1,NA,NA
"WA5363277",0,15,NA
"WA5363350",0,20,14.2
"WA5363381",0,1,6
"WA5363400",0,13,0
"WA5363408",0,37,9
"WA5363410",0,21,34
"WA5363448",1,NA,NA
"WA5363450",0.17,25,33.44
"WA5363479",0,5,40.8
"WA5363480",0,15,8
"WA5363494",0,7,28
"WA5363497",0,6,9
"WA5363500",1,7,39
"WA5363600",0,24,30.11
"WA5363650",0,NA,NA
"WA5363655",0,NA,NA
"WA5363695",0,NA,NA
"WA5363700",0,6,17
"WA5363750",1,30,52.22
"WA5363907",0,11,22
"WA5363913",1,14,NA
"WA5363921",0,NA,NA
"WA5363950",1,19,23
"WA5364000",0,73,49.4
"WA5364070",0,22,5
"WA5364080",0,NA,NA
"WA5364150",0,21,19.63
"WA5364300",1,22,28
"WA5364327",0,30,34
"WA5364340",0,NA,NA
"WA5364400",1,24,41
"WA5364450",1,13,30
"WA5364500",0,11,60.56
"WA5364700",0,19,76
"WA5364830",1,NA,NA
"WA5364845",1,5,35
"WA5364850",1,27,48.85
"WA5364937",1,33,26
"WA5365300",0,17,68.22
"WA5365550",0,11,51
"WA5365640",0,NA,NA
"WA5365700",0,18,1
"WA5365745",0,9,15
"WA5365800",0,57,13
"WA5365815",1,12,31
"WA5365820",1,12,31
"WA5365919",1,33,26
"WA5366090",1,18,33
"WA5366110",1,13,30
"WA5366116",0,25,35
"WA5366125",0,NA,NA
"WA5366146",0,16,36
"WA5366200",0.2,24,67.76
"WA5366204",0,0,60
"WA5366215",0,3,35
"WA5366218",0,NA,NA
"WA5366219",1,15,41
"WA5366300",0,10,24.06
"WA5366350",0,4,25
"WA5366400",0.39,20,41.25
"WA5366450",1,27,15.8
"WA5366479",1,NA,NA
"WA5366565",0,18,42
"WA5366573",0,NA,NA
"WA5366578",0,7,39.39
"WA5366586",0,13,39
"WA5366588",0,NA,NA
"WA5366637",0,6,10.12
"WA5366700",0,16,36
"WA5366734",0,7,33
"WA5366750",0,30,46
"WA5366800",0,21,53
"WA5366914",0,NA,NA
"WA5366932",0,20,5
"WA5366936",0,20,5
"WA5366950",0,10,13.25
"WA5367020",0,20,23.66
"WA5367050",0,37,9
"WA5367100",0,37,9
"WA5367187",0,13,51
"WA5367310",0,NA,NA
"WA5367375",0,NA,NA
"WA5367380",0,6,15
"WA5367382",0,NA,NA
"WA5367393",0,8,17
"WA5367397",0,NA,NA
"WA5367600",0,15,55
"WA5367615",0.99,56,20
"WA5367623",1,5,84
"WA5367640",0,25,5
"WA5367704",0,9,31
"WA5367705",0,20,59
"WA5367715",0,6,22
"WA5367717",0,18,1
"WA5367740",0,7,37
"WA5367800",0,8,71
"WA5367865",1,44,69
"WA5367900",0,20,14.25
"WA5367950",0,15,5
"WA5368045",1,14,NA
"WA5368065",0,3,46.61
"WA5368180",0,NA,NA
"WA5368350",0,18,33.85
"WA5368370",0,NA,NA
"WA5368373",0,10,65
"WA5368400",0,58,13
"WA5368417",0,11,4
"WA5368420",0,NA,NA
"WA5368421",0,NA,NA
"WA5368430",0,13,39
"WA5368550",0.75,42,55.36
"WA5368700",0,6,17
"WA5368750",0,20,22
"WA5368790",0,NA,NA
"WA5368900",0,30,75.43
"WA5368950",0,NA,NA
"WA5369000",0.35,24,32.13
"WA5369008",0,7,9
"WA5369020",0,15,0
"WA5369034",0,16,NA
"WA5369050",1,10,66
"WA5369150",0,8,40.82
"WA5369152",0,6,22
"WA5369157",0,NA,NA
"WA5369166",0,NA,NA
"WA5369167",0,NA,NA
"WA5369168",0,7,60
"WA5369250",1,20,27
"WA5369273",1,24,71
"WA5369350",0,11,16
"WA5369450",0,14,82
"WA5369650",1,56,46.98
"WA5369700",0,24,4
"WA5369720",0,14,4
"WA5369750",0.97,37,43.99
"WA5369760",0,32,51
"WA5369880",0.52,17,13.58
"WA5369945",0,NA,NA
"WA5370000",0,6,9
"WA5370050",0,23,48.71
"WA5370185",0,7,28
"WA5370350",0.02,32,22
"WA5370450",0.41,28,11.85
"WA5370550",0,17,1
"WA5370650",0,13,51
"WA5370670",0,13,0
"WA5370700",1,NA,NA
"WA5370755",0,NA,NA
"WA5370760",0,12,39
"WA5370770",0.29,36,19.34
"WA5370791",0,NA,NA
"WA5370850",0,29,69
"WA5370910",1,5,35
"WA5370950",1,NA,NA
"WA5370970",0,NA,NA
"WA5370980",0,9,59
"WA5371290",0,NA,NA
"WA5371400",0,25,32
"WA5371500",0.07,49,57.35
"WA5371550",0,20,33
"WA5371605",0,11,24
"WA5371610",0,NA,NA
"WA5371614",0,NA,NA
"WA5371643",1,NA,NA
"WA5371650",0,3,13.16
"WA5371700",0,15,85
"WA5371727",0,5,51
"WA5371745",0,13,41
"WA5371850",0.1,17,28.35
"WA5371900",1,22,59
"WA5371930",1,NA,NA
"WA5372150",0,13,51
"WA5372200",0,11,18.46
"WA5372250",0.08,29,37.95
"WA5372260",0,NA,NA
"WA5372267",0,2,47
"WA5372400",0,13,16.73
"WA5372410",1,5,35
"WA5372414",0,NA,NA
"WA5372500",0,4,25
"WA5372620",1,10,66
"WA5372700",1,60,71
"WA5372720",0,37,9
"WA5372750",0,7,NA
"WA5372752",1,NA,NA
"WA5372773",1,24,71
"WA5372776",0,6,25
"WA5372800",0.32,16,40.15
"WA5372807",1,28,70
"WA5372809",0,NA,NA
"WA5372810",0,NA,NA
"WA5372811",1,NA,NA
"WA5372817",0,4,3
"WA5372842",0,NA,NA
"WA5372844",0,16,48
"WA5372850",1,27,45
"WA5372935",0,8,69
"WA5372965",0,6,22
"WA5372975",0,NA,NA
"WA5373030",0,25,22
"WA5373032",1,19,23
"WA5373230",0,7,9
"WA5373240",0,2,25
"WA5373300",0,7,41.78
"WA5373401",0,11,23
"WA5373450",0,20,5
"WA5373550",1,56,20
"WA5373560",0,4,41
"WA5373600",1,24,71
"WA5373620",0,4,45
"WA5373750",0,13,33
"WA5373975",0,1,11
"WA5374000",0,13,39
"WA5374100",0,25,5
"WA5374130",0,6,8
"WA5374150",0,8,42.43
"WA5374160",1,21,47
"WA5374250",1,61,61
"WA5374270",0,13,0
"WA5374364",0,NA,NA
"WA5374371",0,16,3.25
"WA5374372",0,7,45.47
"WA5374375",0,0,33
"WA5374400",0,25,5
"WA5374656",0,NA,NA
"WA5374700",1,9,1
"WA5374705",0,NA,NA
"WA5374743",0,5,51
"WA5374800",0,34,20
"WA5375027",0,6,62
"WA5375070",0,NA,NA
"WA5375100",0,27,26
"WA5375154",0,17,1
"WA5375200",1,9,1
"WA5375205",0,17,30
"WA5375265",0,2,9
"WA5375300",1,61,61
"WA5375550",1,NA,NA
"WA5375560",0,12,40.52
"WA5375616",0,NA,NA
"WA5375636",0,14,82
"WA5375645",0,22,14.59
"WA5375670",0,21,12.11
"WA5375765",0,NA,NA
"WA5375795",0,NA,NA
"WA5375800",0,15,NA
"WA5375893",0,NA,NA
"WA5375950",0,17,18
"WA5376050",0,15,0
"WA5376105",1,9,93
"WA5376145",1,18,14
"WA5376240",0,9,31
"WA5376250",0,6,1
"WA5376300",0,9,31
"WA5376460",0,12,27
"WA5376462",0,12,7
"WA5376468",0,13,52
"WA5376470",0,15,0
"WA5376500",0,NA,NA
"WA5376520",0,9,9
"WA5376530",0,9,38
"WA5376620",1,9,1
"WA5376650",0,16,15
"WA5376750",0,21,18
"WA5376787",0,2,47
"WA5376920",0,5,41
"WA5376925",0,12,32.86
"WA5376973",0,NA,NA
"WA5376976",0,NA,NA
"WA5376986",1,11,25
"WA5376998",0,NA,NA
"WA5377050",0.12,44,28.86
"WA5377147",0,NA,NA
"WA5377148",0,9,9
"WA5377400",0,28,38.01
"WA5377410",0,NA,NA
"WA5377620",0.29,7,65.17
"WA5377651",0,20,33
"WA5377660",0,12,21.82
"WA5377670",0,17,14
"WA5377675",0,NA,NA
"WA5377777",0,NA,NA
"WA5377846",0,30,34
"WA5377850",0,13,51
"WA5377957",0,NA,NA
"WA5377960",0,NA,NA
"WA5378155",0,10,51
"WA5378170",0.19,33,68.72
"WA5378373",0,13,39
"WA5378398",0,NA,NA
"WA5378455",0,3,51.75
"WA5378600",0,8,71
"WA5378618",0,12,39
"WA5378650",0,NA,NA
"WA5378970",0,6,1
"WA5378975",0,13,39
"WA5379050",0,7,56.98
"WA5379190",1,15,41
"WA5379245",0,10,65
"WA5379250",0,2,32.17
"WA5379276",0,NA,NA
"WA5379280",0,25,49
"WA5379300",0,7,25.87
"WA5379423",0,1,52
"WA5379500",0.03,26,42.33
"WA5379650",0,11,51
"WA5379800",0,13,33.38
"WA5379835",0,2,49
"WA5379860",0,NA,NA
"WA5380005",0,14,39
"WA5380100",0,25,21.65
"WA5380130",0,13,41
"WA5380200",0,21,53
"WA5380205",0,19,NA
"WA5380210",0,22,57
"WA5380212",0,9,31
"WA5380220",0,17,57
"WA5380345",1,61,61
"WA5380800",0,10,51
"WA5380907",0,9,35.65
"WA5380915",0,27,61.84
"WA5381048",0,7,NA
"WA5381080",0,14,17.58
"WA5381100",1,27,25
"WA5381120",0,14,25
"WA5381146",0,22,47
"WA5381150",0,NA,NA
"WA5381300",1,36,46
"WA5381315",1,5,77
"WA5381400",1,7,91
"WA5381451",0,20,5
"WA5381475",0,NA,NA
"WA5381500",0.49,49,13.8
"WA5381600",0,25,5
"WA5381851",1,20,91
"WA5382200",1,5,35
"WA5382300",0,16,22.31
"WA5382844",0,1,58.76
"WA5382850",0,8,52.38
"WA5382870",1,56,20
"WA5382963",1,NA,NA
"WA5383034",0,5,22
"WA5383100",0.17,47,56.64
"WA5383150",1,64,10
"WA5383295",0,3,8
"WA5383310",0,28,34
"WA5383335",0,NA,NA
"WA5383400",1,14,52
"WA5383408",0,NA,NA
"WA5383424",0,3,35
"WA5383600",0,4,45
"WA5383650",0,13,75.42
"WA5383680",1,10,66
"WA5383750",0,52,45
"WA5383825",1,31,15
"WA5383850",0,18,39
"WA5383884",0,14,15
"WA5383900",0,17,14
"WA5384000",0,22,12.11
"WA5384250",0,26,27.19
"WA5384300",0,5,59
"WA5384530",0,NA,NA
"WA5384566",0,NA,NA
"WA5384618",0,6,30.79
"WA5384620",0,12,59
"WA5384625",0,5,51
"WA5384670",0,5,36.07
"WA5384730",0,15,55
"WA5384760",0,14,27
"WA5384770",0,19,22.25
"WA5384850",0.08,32,35
"WA5384870",0,32,35
"WA5384898",0,NA,NA
"WA5384903",0,NA,NA
"WA5384907",0,NA,NA
"WA5385050",0.08,22,44.71
"WA5385080",1,5,35
"WA5385120",0,23,48.14
"WA5385121",0.98,12,31
"WA5385123",0,14,39
"WA5385124",1,NA,NA
"WA5385128",0,14,39
"WA5385129",1,20,27
"WA5385138",0.91,20,91
"WA5385160",0,15,8
"WA5385201",1,5,35
"WA5385202",0,5,48
"WA5385203",1,5,35
"WA5385205",0,7,59
"WA5385207",1,31,51
"WA5385209",0,NA,NA
"WA5385240",1,12,19
"WA5385257",0,5,15
"WA5385260",0,5,15
"WA5385295",0,14,39
"WA5385330",0,17,93
"WA5385400",1,36,39.94
"WA5385550",0,12,20
"WA5385605",0,NA,NA
"WA5385630",0,21,31
"WA5385641",0,NA,NA
"WA5385818",0,11,51.14
"WA5385900",0,15,5
"WA5385925",0,1,39
"WA5385940",0,NA,NA
"WA5385950",1,26,38
"WA5386040",0,7,37
"WA5386075",0,10,65
"WA5386100",0,NA,NA
"WA5386130",0,NA,NA
"WA5386150",0,13,0
"WA5386158",0,10,65
"WA5386200",1,9,93
"WA5386202",0,18,1
"WA5386205",0,NA,NA
"WA5386250",0,4,6
"WA5386280",1,31,15
"WA5386284",0,14,43
"WA5386294",1,38,3
"WA5386304",0,6,31
"WA5386400",0,17,17.23
"WA5386450",0,NA,NA
"WA5386470",1,15,67
"WA5386633",0,25,5
"WA5386647",0,24,4
"WA5386790",0,32,60
"WA5386800",0.27,32,52.99
"WA5387115",0,NA,NA
"WA5387116",0,14,15
"WA5387120",0,NA,NA
"WA5387122",0,2,47
"WA5387140",0,9,2
"WA5387144",0,26,37
"WA5387175",0,9,15
"WA5387181",0,1,59
"WA5387189",0,9,64.17
"WA5387195",0,NA,NA
"WA5387300",1,61,61
"WA5387375",0,9,59
"WA5387400",0,20,25
"WA5387520",0,13,15
"WA5387622",0,14,44.71
"WA5387780",0,7,9
"WA5387784",0,1,11.02
"WA5388050",0,NA,NA
"WA5388140",0,10,42
"WA5388150",0,8,35.88
"WA5388200",0,11,22
"WA5388215",0,NA,NA
"WA5388298",0,17,30
"WA5388300",1,31,15
"WA5388370",1,10,11
"WA5388381",0,NA,NA
"WA5388383",0,NA,NA
"WA5388385",0,25,22
"WA5388386",0,8,50
"WA5388388",0,11,51
"WA5388398",1,24,71
"WA5388660",0,28,67
"WA5388665",0,NA,NA
"WA5388667",0,5,11
"WA5388700",1,31,60
"WA5388850",1,51,68.43
"WA5388905",1,17,45
"WA5388920",1,17,45
"WA5388945",0,NA,NA
"WA5389050",0,20,0
"WA5389055",0,NA,NA
"WA5389060",1,5,35
"WA5389150",0,7,37
"WA5389250",0,20,59.05
"WA5389400",0,1,44
"WA5389447",1,11,25
"WA5389450",1,10,66
"WA5389500",0.12,23,35.01
"WA5389550",0,17,93
"WA5389620",0,NA,NA
"WA5389650",0,NA,NA
"WA5389700",0,12,34.87
"WA5389930",0,4,41
"WA5390032",0,13,15
"WA5390034",1,28,10
"WA5390050",1,18,13
"WA5390100",0,NA,NA
"WA5390200",0,21,16
"WA5390250",0.92,42,85.7
"WA5390260",0,3,12.35
"WA5390400",0,62,16
"WA5390520",0,14,33
"WA5390542",0,32,84
"WA5390543",0,NA,NA
"WA5390685",1,NA,NA
"WA5390700",0,4,29
"WA5390847",0,9,31
"WA5390850",0,18,1
"WA5390875",0,4,27.67
"WA5390900",0,28,67
"WA5390975",0,37,9
"WA5390976",0,15,55
"WA5390979",0,NA,NA
"WA5390981",1,15,41
"WA5390993",0,16,44
"WA5390998",0,14,18.55
"WA5391000",0,24,24
"WA5391080",0,32,60
"WA5391130",1,14,52
"WA5391200",0.3,13,48.85
"WA5391250",0,18,30
"WA5391445",0,1,15
"WA5391450",0.01,16,49.04
"WA5391460",0,7,28
"WA5391470",0,7,24
"WA5391650",0,NA,NA
"WA5391845",0,NA,NA
"WA5391850",0,11,74
"WA5391900",1,NA,NA
"WA5391902",0,NA,NA
"WA5391908",0,32,51
"WA5391910",0,24,64
"WA5391912",1,32,90
"WA5391923",0,10,20.03
"WA5391925",0,NA,NA
"WA5391930",0,9,2
"WA5391935",1,49,13
"WA5392062",0,NA,NA
"WA5392070",0,NA,NA
"WA5392150",0,NA,NA
"WA5392250",0,36,26
"WA5392350",0,19,25
"WA5392470",0.25,29,27
"WA5392475",1,22,27
"WA5392500",0.18,50,41.37
"WA5392600",1,20,27
"WA5392800",1,34,87.98
"WA5392850",1,20,20
"WA5392950",0,14,34
"WA5393000",0,16,34
"WA5393063",0,NA,59
"WA5393085",0,1,11
"WA5393200",0.99,6,NA
"WA5393343",0.16,31,60.91
"WA5393351",0.03,22,60.96
"WA5393353",0,53,55.46
"WA5393354",0.15,13,27.22
"WA5393355",0,6,22
"WA5393356",0,4,16
"WA5393359",0,NA,NA
"WA5393380",0,20,60
"WA5393400",0,17,28.4
"WA5393450",1,62,26
"WA5393580",0,9,9
"WA5393600",0,53,1
"WA5393820",1,56,20
"WA5393909",0,18,1
"WA5393945",0,18,1
"WA5393950",0,7,28
"WA5393986",0,NA,NA
"WA5394110",1,29,12
