"pwsid","total_pop","mhi","hh_inc_lowest_quintile","black_alone_per","asian_alone_per","white_alone_per","AIAN_alone_per","NAPI_alone_per","other_alone_per","mixed_alone_per","hisp_alone_per","ageunder_5_per","age_over_61_per","bachelors_per","laborforce_unemployed_per","water_rate_less_125_per","water_rate_between_125_249_per","water_rate_between_250_499_per","water_rate_between_500_749_per","water_rate_between_750_999_per","water_rate_over_1000_per","hh_below_pov_per","hh_rent_home_per","hh_own_home_per","poc_alone_per","pop_in_pov_per","no_health_insurance_per","epic_pop_density","most_common_rate_tidy"
"RI1559512",21868,80895,32932,0.9,2.48,91.2,0.14,0,3.04,2.25,3.47,3.11,27.5,21.23,7.64,15.58,17.77,32.88,20.33,7.46,5.99,7.17,30.15,69.85,8.8,7.23,3.14,828,"Most people pay between $250-499 for water & sewer annually"
"RI1559513",215,105774,38307,1.19,0.23,98.22,0.01,0,0.03,0.33,1.53,1.45,35.46,33.31,7.84,26.67,23.13,22.53,18.9,3.19,5.58,7.9,16.35,83.65,1.78,10.71,0.85,510,"Most people pay < $125 for water & sewer annually"
"RI1559517",25183,102420,48457,0.71,2.76,91.55,0.15,0,0.21,4.62,3.51,4.51,27.17,27.5,3.84,15.56,29.67,32.08,12.14,3.07,7.47,8.12,20.41,79.59,8.45,6.39,1.53,826,"Most people pay between $250-499 for water & sewer annually"
"RI1559518",44701,52404,23082,6.93,5.82,67.5,0.79,0.05,6.4,12.5,21.73,7.17,17.81,14.31,8.95,4.46,7.6,18.52,21.58,19.81,28.04,17.47,60.37,39.63,32.5,17.94,6.36,5008,"Most people pay > $1000 for water & sewer annually"
"RI1583825",78,101917,58390,0.03,3.04,92.12,0,0,1.14,3.67,1.88,5.61,19.91,21.48,6.41,7.86,3.89,19.61,33.47,8.27,26.9,1.74,18.05,81.95,7.88,1.73,2.85,2350,"Most people pay between $500-749 for water & sewer annually"
"RI1592010",37830,84056,32021,7.27,2.08,81.06,0.88,0.07,2.54,6.09,7.2,4.75,25.39,28.56,7.48,15.51,7.54,12.8,13.74,11.98,38.43,11.05,47.87,52.13,18.94,11.8,4.86,2231,"Most people pay > $1000 for water & sewer annually"
"RI1592012",11,NA,NA,0.86,1.15,86.85,0.59,0,2.43,8.13,5.54,7.52,23.55,18.33,4.78,9.06,12.82,27.41,23.71,15.18,11.82,8.28,23,77,13.15,12.38,5.67,4414,"Most people pay between $250-499 for water & sewer annually"
"RI1592018",6456,76330,34838,0.99,0.2,98.26,0.18,0,0.22,0.15,6.48,4.12,27.19,21.12,3.92,15.48,22.56,31.31,16.21,7.41,7.03,8.33,34.16,65.84,1.74,7.68,4.72,2165,"Most people pay between $250-499 for water & sewer annually"
"RI1592020",4005,94815,32567,0.09,2.27,92.71,0,0,1.86,3.06,4.63,6.94,20.09,17.63,4.96,7.1,11.04,10.03,28.12,11.08,32.63,11.31,31.83,68.17,7.29,6.06,2.63,1218,"Most people pay > $1000 for water & sewer annually"
"RI1592021",105514,51916,22519,13.96,1.62,55.54,0.37,0.06,16.3,12.14,33.75,6.25,15.29,14.05,6.9,15.3,5.12,10.75,16.3,14.94,37.6,16.62,54.51,45.49,44.46,16.15,7.48,8522,"Most people pay > $1000 for water & sewer annually"
"RI1592022",15976,103662,41171,1.33,0.65,92.39,0,0,0.17,5.46,5.54,4.03,27.86,31.45,3.37,12.46,15.46,32.48,21.59,4.06,13.95,5.66,18.6,81.4,7.61,4.8,1.35,1082,"Most people pay between $250-499 for water & sewer annually"
"RI1592023",345,89063,18759,0,2.32,97.68,0,0,0,0,0,7.08,29.92,25.2,5.53,19.77,8.56,25.1,15.59,5.13,25.86,16.12,27.53,72.47,2.32,9.68,1.5,612,"Most people pay > $1000 for water & sewer annually"
"RI1592024",320959,66570,27612,11.47,5.38,62.45,0.54,0.16,11,8.99,31.08,5.67,17.79,18.65,7.05,15.65,7.37,17.98,23.74,12.65,22.61,16.69,47.83,52.17,37.55,15.6,5.74,4876,"Most people pay between $500-749 for water & sewer annually"
"RI1615610",46024,64975,25571,5.39,2.55,82.06,0.07,0,3.91,6.02,7.64,5.33,24.16,17.86,5.85,15.84,7.09,20.15,19.07,9.97,27.88,12.74,39.88,60.12,17.94,10.89,4.82,3435,"Most people pay > $1000 for water & sewer annually"
"RI1615614",1406,82882,25189,0.52,0.04,99.34,0,0,0.02,0.08,4.85,3.99,32.1,17.53,6.27,3.25,1.26,24.09,24.06,0.43,46.91,11.19,41.75,58.25,0.66,8.84,4.36,1283,"Most people pay > $1000 for water & sewer annually"
"RI1615616",7623,73883,28352,3.93,4.45,81.77,0.23,0,2.71,6.92,7.94,2.82,23.9,20.85,5.04,9.6,8.98,32.52,28.44,11.29,9.18,12.51,32.27,67.73,18.23,8.06,4.21,944,"Most people pay between $250-499 for water & sewer annually"
"RI1615619",3016,97761,47966,1.55,0.75,96.2,0.26,0,0.79,0.46,4.6,4.32,30.68,28.27,4.65,11.08,25.74,33.15,16.22,7.39,6.41,4.91,18.43,81.57,3.8,4.76,3.21,992,"Most people pay between $250-499 for water & sewer annually"
"RI1615623",4397,105422,62746,0.3,0.42,95.6,0,0,0.14,3.55,1.93,1.43,41.05,31.71,8.9,16.75,32.98,28.32,14.97,2.54,4.45,4.65,13.27,86.73,4.4,3.96,2.24,632,"Most people pay between $125-249 for water & sewer annually"
"RI1615624",21875,87742,34795,2.15,1.89,88.91,3.24,0.09,1.68,2.04,3.83,4.26,28.05,28.84,6.68,12.76,11.9,29.26,22.08,15.36,8.64,10.11,31.76,68.24,11.09,9.47,2.51,724,"Most people pay between $250-499 for water & sewer annually"
"RI1615626",329,108417,62386,1.37,0,90.96,0,0,2.08,5.59,4.71,2.85,23.87,26.97,4.1,8.96,8.46,32.96,19.53,16.92,13.18,3.07,16.06,83.94,9.04,2.08,4.58,4981,"Most people pay between $250-499 for water & sewer annually"
"RI1615627",63662,78588,35606,3.23,2.08,88.66,0.36,0.03,1.45,4.2,6.37,4.57,24.75,18.38,5.11,8.39,12.87,21.19,19.85,12.54,25.16,7.6,23.02,76.98,11.34,7.03,3.62,2584,"Most people pay > $1000 for water & sewer annually"
"RI1647511",408,97215,50396,0.04,0,97.66,0.57,0,0.27,1.45,1.56,1.73,28,17.99,6.72,22.22,24.64,27.54,4.35,0,21.26,6.05,10.34,89.66,2.34,6.26,2.44,865,"Most people pay between $250-499 for water & sewer annually"
"RI1647512",158,97215,50396,0.04,0,97.66,0.57,0,0.27,1.45,1.56,1.73,28,17.99,6.72,22.22,24.64,27.54,4.35,0,21.26,6.05,10.34,89.66,2.34,6.26,2.44,1389,"Most people pay between $250-499 for water & sewer annually"
"RI1647515",48701,95452,42147,1.15,2.47,92.5,0.06,0,0.8,3.02,3.27,3.95,24.17,25.29,4.24,7.21,5.79,21.71,26.57,12.73,25.98,8.94,27.79,72.21,7.5,6.79,1.53,2452,"Most people pay between $500-749 for water & sewer annually"
"RI1647516",94,126406,48952,0.44,0.17,97.72,0,0,1.22,0.44,1.62,3.92,19.36,10.42,5.27,7.8,25.85,2.93,20.49,9.76,33.17,0.8,7.75,92.25,2.28,3.86,6.21,422,"Most people pay > $1000 for water & sewer annually"
"RI1647529",57,98399,53166,0.09,0,96.29,0.37,0,0.18,3.07,2.28,3.08,24.41,18.89,4.9,19.66,26.77,22.04,10.59,1.87,19.08,4.82,8.38,91.62,3.71,4.75,2.16,440,"Most people pay between $125-249 for water & sewer annually"
"RI1647530",25824,110646,43479,2.51,3.64,88.69,0,0,2.06,3.09,6.55,5.22,21.66,29.13,3.61,13.95,9.29,29.52,20.91,9.37,16.96,6.78,16.31,83.69,11.31,5.22,2.27,1443,"Most people pay between $250-499 for water & sewer annually"
"RI1858410",9229,90427,43807,0.9,1.76,93.93,0.08,0,1.26,2.06,4.51,2.47,31.07,26.5,3.63,3.82,8.86,26.79,30.21,15.32,15,4.59,14.67,85.33,6.07,2.81,2.67,1327,"Most people pay between $500-749 for water & sewer annually"
"RI1858411",2460,93454,34432,0.06,2.54,92.24,0,0,1.81,3.36,4.48,6.98,20.12,18.71,5.15,7.18,9.88,11.33,28.92,10.76,31.92,10.65,31.44,68.56,7.76,5.61,2.38,946,"Most people pay > $1000 for water & sewer annually"
"RI1858419",2792,120129,40775,0.05,0.25,95.48,0.47,0,0,3.74,0.16,2.51,37.68,34.95,5.77,1.7,1.38,10.92,9.33,11.45,65.22,7.96,15.21,84.79,4.52,5.15,0.27,637,"Most people pay > $1000 for water & sewer annually"
"RI1858421",3309,122659,57852,1.82,5.88,89.12,0.36,0.04,0.46,2.32,4.43,4.78,19.17,33.33,7.67,4.66,6.54,38.32,32.44,11.33,6.7,9.28,21.33,78.67,10.88,7.03,3.87,957,"Most people pay between $250-499 for water & sewer annually"
"RI1858422",2963,100782,45584,6.2,3.86,83.06,0.59,0.15,1.68,4.46,12.74,0.42,2.83,36.64,13.14,10.88,17.07,24.55,11.62,15.36,20.53,7.59,30.82,69.18,16.94,10.79,3.23,2968,"Most people pay between $250-499 for water & sewer annually"
"RI1858423",22121,91838,40950,1.34,5.62,85.8,0,0,2.27,4.97,4.58,6.18,22.33,27.72,7.19,13.8,11.79,13.64,20.93,9.53,30.31,7.45,31.82,68.18,14.2,7.3,4.12,1185,"Most people pay > $1000 for water & sewer annually"
"RI1858428",3886,56577,12633,0.84,1.81,94.39,0.06,0.05,0.48,2.36,2.87,1.02,34.6,33.46,2.03,9.33,8.25,32.97,20.89,19.45,9.11,27.74,37.63,62.37,5.61,35.06,3.78,805,"Most people pay between $250-499 for water & sewer annually"
"RI1858429",7897,67999,23204,0.77,1.4,94.61,0.03,0.02,0.24,2.92,3.14,2.09,30.35,31.77,3,8.41,6.7,30.58,19.31,20.76,14.24,19.11,30.48,69.52,5.39,23.08,2.93,1136,"Most people pay between $250-499 for water & sewer annually"
"RI1858430",281,72279,46571,0.7,0.5,94.64,0,0,0,4.17,0,1.49,31.78,31.03,7.03,0,0,0,18.95,11.58,69.47,1.96,26.36,73.64,5.36,9.04,11.22,342,"Most people pay > $1000 for water & sewer annually"
"RI1858435",7,99892,49895,0.42,0.38,88.3,0,0,0,10.9,1.35,5.04,19.89,17.22,1.87,8.82,29.41,27.94,0,27.94,5.88,4.19,11.32,88.68,11.7,4.96,2.24,190,"Most people pay between $125-249 for water & sewer annually"
"RI1900020",224,102831,51549,0.27,0,96.21,0,0,0,3.52,1.01,3.79,19.97,20.09,4.19,7.48,5.16,37.1,27.3,6.28,16.68,5.32,9.43,90.57,3.79,2.75,1.73,1992,"Most people pay between $250-499 for water & sewer annually"
"RI1900034",137,101917,58390,0.03,3.04,92.12,0,0,1.14,3.67,1.88,5.61,19.91,21.48,6.41,7.86,3.89,19.61,33.47,8.27,26.9,1.74,18.05,81.95,7.88,1.73,2.85,1760,"Most people pay between $500-749 for water & sewer annually"
"RI1900042",1368,90389,32909,0.5,1.86,94.96,0,0,1.13,1.56,2.75,4.15,30.62,33.35,2.42,5.27,30.97,20.05,27.76,11.53,4.42,9.84,17.72,82.28,5.04,6.55,2.5,1006,"Most people pay between $125-249 for water & sewer annually"
"RI1900046",23,74375,28490,10.19,3.4,78.1,0.92,0,3.84,3.55,13.65,3.13,15.7,26.34,5.25,18.97,7.09,20.74,19.5,12.94,20.74,5.11,60.29,39.71,21.9,5.13,1.64,3602,"Most people pay between $250-499 for water & sewer annually"
"RI1900051",86,83951,26733,0.37,7.36,88.17,0.47,0,0.5,3.13,4.31,5.09,18.91,37.69,3.28,8.01,2.14,10.05,20.43,18.62,40.74,13.53,44.58,55.42,11.83,7.39,1.57,5732,"Most people pay > $1000 for water & sewer annually"
"RI1900053",15,86220,31987,1.21,1.33,91.66,0,0,0,5.8,3.56,3.61,21.83,23.87,6.79,0,0,100,0,0,0,10.8,25.06,74.94,8.34,7.53,0,549,"Most people pay between $250-499 for water & sewer annually"
"RI2000053",137,94899,36478,0,0,98.52,0.06,0,0.21,1.22,0.84,2.86,23.74,13.57,1.81,0,4.46,10.71,0,66.96,17.86,4.9,14.21,85.79,1.48,5.01,0.85,184,"Most people pay between $750-999 for water & sewer annually"
"RI2000059",350,101833,57575,0,0.74,97.26,0,0,0.21,1.79,1.38,4.4,18.92,22.55,5.48,0,100,0,0,0,0,5.1,13.14,86.86,2.74,5.41,2.6,158,"Most people pay between $125-249 for water & sewer annually"
"RI2000083",230,100411,45700,1.46,2.15,92.18,0,0,2.59,1.61,4.29,3.07,35.54,27.44,2.23,7.75,12.05,26.02,28.7,11.67,13.81,6.18,18.98,81.02,7.82,4.31,1.2,597,"Most people pay between $500-749 for water & sewer annually"
"RI2000165",40,100493,58066,0.2,0.04,93.77,0.03,0,0.01,5.95,3.58,5.55,18.04,21.02,1.8,12.38,31.5,9.21,27.23,6.52,13.16,2.19,4.71,95.29,6.23,2.1,1.59,886,"Most people pay between $125-249 for water & sewer annually"
"RI2051311",36,NA,NA,0.29,0,97.72,0,0,1.82,0.18,0.02,3.58,24.94,22.75,12.76,16.67,8.02,20.37,35.19,10.49,9.26,2.76,6.18,93.82,2.28,1.62,1.67,1288,"Most people pay between $500-749 for water & sewer annually"
"RI2519424",19,NA,NA,0,0.74,97.26,0,0,0.21,1.79,1.38,4.4,18.92,22.55,5.48,0,100,0,0,0,0,5.1,13.14,86.86,2.74,5.41,2.6,894,"Most people pay between $125-249 for water & sewer annually"
"RI2585312",52,95053,49000,0.64,0.85,94.15,0.58,0,0.26,3.51,2.87,4.93,23.23,27.78,7.75,0,21.09,25.82,40.73,5.45,6.91,1.4,14.35,85.65,5.85,5.63,0.6,607,"Most people pay between $500-749 for water & sewer annually"
"RI2585313",15,126402,59963,2.34,2.09,89.34,0.06,0,3.05,3.12,3.55,3.23,23.26,22.93,6.82,24.72,18.17,29.3,9.27,6.06,12.48,1.68,16.28,83.72,10.66,1.42,1.58,148,"Most people pay between $250-499 for water & sewer annually"
"RI2674924",104,97215,50396,0.04,0,97.66,0.57,0,0.27,1.45,1.56,1.73,28,17.99,6.72,22.22,24.64,27.54,4.35,0,21.26,6.05,10.34,89.66,2.34,6.26,2.44,1114,"Most people pay between $250-499 for water & sewer annually"
"RI2674925",51,97215,50396,0.04,0,97.66,0.57,0,0.27,1.45,1.56,1.73,28,17.99,6.72,22.22,24.64,27.54,4.35,0,21.26,6.05,10.34,89.66,2.34,6.26,2.44,2370,"Most people pay between $250-499 for water & sewer annually"
"RI2674928",83,97215,50396,0.04,0,97.66,0.57,0,0.27,1.45,1.56,1.73,28,17.99,6.72,22.22,24.64,27.54,4.35,0,21.26,6.05,10.34,89.66,2.34,6.26,2.44,939,"Most people pay between $250-499 for water & sewer annually"
"RI2753326",99,105913,39551,1.98,0.41,95.73,0,0,0.25,1.62,1.06,3.08,38.9,32.81,3.73,24.57,11.15,28.94,20.35,3.99,11,11.05,34.91,65.09,4.27,6.41,0.51,1535,"Most people pay between $250-499 for water & sewer annually"
"RI2942525",133,100493,58066,0.17,0,93.75,0,0,0,6.08,3.62,5.58,17.77,20.7,1.5,13.18,32.17,8.14,26.36,6.59,13.57,2.23,4.26,95.74,6.25,1.92,1.64,690,"Most people pay between $125-249 for water & sewer annually"
"RI2943224",106,101833,57575,0,0.74,97.26,0,0,0.21,1.79,1.38,4.4,18.92,22.55,5.48,0,100,0,0,0,0,5.1,13.14,86.86,2.74,5.41,2.6,2069,"Most people pay between $125-249 for water & sewer annually"
"RI2973130",339,101917,58390,0.03,3.04,92.12,0,0,1.14,3.67,1.88,5.61,19.91,21.48,6.41,7.86,3.89,19.61,33.47,8.27,26.9,1.74,18.05,81.95,7.88,1.73,2.85,4709,"Most people pay between $500-749 for water & sewer annually"
"RI2980001",23,NA,NA,0.29,0,97.72,0,0,1.82,0.18,0.02,3.58,24.94,22.75,12.76,16.67,8.02,20.37,35.19,10.49,9.26,2.76,6.18,93.82,2.28,1.62,1.67,2389,"Most people pay between $500-749 for water & sewer annually"
"RI2980003",1,NA,NA,0.29,0,97.72,0,0,1.82,0.18,0.02,3.58,24.94,22.75,12.76,16.67,8.02,20.37,35.19,10.49,9.26,2.76,6.18,93.82,2.28,1.62,1.67,2025,"Most people pay between $500-749 for water & sewer annually"
"RI2980017",298,73468,29235,0,0,95.65,0.15,0,0.03,4.17,1.07,3.28,34.52,27.1,6.67,0,11.03,75.17,0,6.21,7.59,9.96,25,75,4.35,10.18,4.96,1016,"Most people pay between $250-499 for water & sewer annually"
"RI2980146",67,101833,57575,0,0.74,97.26,0,0,0.21,1.79,1.38,4.4,18.92,22.55,5.48,0,100,0,0,0,0,5.1,13.14,86.86,2.74,5.41,2.6,862,"Most people pay between $125-249 for water & sewer annually"
"RI2980323",246,105981,60083,0.37,0.88,96.95,0,0,0,1.8,2.27,3.24,27.07,18.61,3.82,13.08,31.1,24.82,15.87,6.61,8.52,4.54,13.61,86.39,3.05,3.14,1.56,1663,"Most people pay between $125-249 for water & sewer annually"
"RI2980414",281,94899,36478,0,0,98.52,0.06,0,0.21,1.22,0.84,2.86,23.74,13.57,1.81,0,4.46,10.71,0,66.96,17.86,4.9,14.21,85.79,1.48,5.01,0.85,3136,"Most people pay between $750-999 for water & sewer annually"
"RI2980423",65,86220,31987,1.21,1.33,91.66,0,0,0,5.8,3.56,3.61,21.83,23.87,6.79,0,0,100,0,0,0,10.8,25.06,74.94,8.34,7.53,0,232,"Most people pay between $250-499 for water & sewer annually"
"RI2980426",221,95053,49000,0.64,0.85,94.15,0.58,0,0.26,3.51,2.87,4.93,23.23,27.78,7.75,0,21.09,25.82,40.73,5.45,6.91,1.4,14.35,85.65,5.85,5.63,0.6,824,"Most people pay between $500-749 for water & sewer annually"
"RI2980447",85,86220,31987,1.21,1.33,91.66,0,0,0,5.8,3.56,3.61,21.83,23.87,6.79,0,0,100,0,0,0,10.8,25.06,74.94,8.34,7.53,0,502,"Most people pay between $250-499 for water & sewer annually"
"RI2980452",810,64814,31508,1.33,3.67,87.06,0,0,4.46,3.48,6.7,2.31,31.28,19.29,3.59,13.54,3.85,16.35,22.92,22.08,21.25,5.71,40.74,59.26,12.94,4.52,2.47,2856,"Most people pay between $500-749 for water & sewer annually"
"RI2980453",4671,80392,16876,6.17,6.58,74.67,0.22,0,5.81,6.55,13.4,4.76,25.02,21.12,6.67,7.04,8.46,12.26,27.7,22.32,22.21,18.57,39.16,60.84,25.33,13.52,2.94,7430,"Most people pay between $500-749 for water & sewer annually"
"RI2980473",205,86220,31987,1.21,1.33,91.66,0,0,0,5.8,3.56,3.61,21.83,23.87,6.79,0,0,100,0,0,0,10.8,25.06,74.94,8.34,7.53,0,1069,"Most people pay between $250-499 for water & sewer annually"
"RI2980475",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"No Information on annual water & sewer rates"
"RI2980476",1373,81328,25460,0.07,3.08,92.34,0,0,1.91,2.59,3.99,3.62,23.07,20.61,11.15,7.58,11.03,36.84,24.11,11.25,9.19,8.33,26.6,73.4,7.66,5.47,3.66,3207,"Most people pay between $250-499 for water & sewer annually"
"RI2980487",21,95053,49000,0.64,0.85,94.15,0.58,0,0.26,3.51,2.87,4.93,23.23,27.78,7.75,0,21.09,25.82,40.73,5.45,6.91,1.4,14.35,85.65,5.85,5.63,0.6,346,"Most people pay between $500-749 for water & sewer annually"
"VT0000196",12,80216,37209,0.6,2.7,91.75,0.22,0,1.6,3.14,1.91,4.33,27.91,28.47,3.36,9.52,15.65,21.09,10.88,23.81,19.05,4.77,11.32,88.68,8.25,4.66,3.36,85,"Most people pay between $750-999 for water & sewer annually"
"VT0005001",3668,78901,37456,0.24,0.9,94.47,0.4,0.27,0.61,3.12,2.5,6.21,27.85,22.09,3.27,10.07,14.59,63.7,5.01,3.87,2.77,6.74,18.87,81.13,5.53,6.53,6.97,32,"Most people pay between $250-499 for water & sewer annually"
"VT0005002",1658,77500,35839,2.01,0.48,95.57,0.26,0,0,1.69,2.19,3.88,22.8,25.57,3.96,12.15,21.51,48.8,7.37,0.8,9.36,5.97,25.37,74.63,4.43,8.82,8.46,1041,"Most people pay between $250-499 for water & sewer annually"
"VT0005003",745,69261,31415,2.36,0.47,89.95,0,0,1.35,5.88,2.23,4.12,30.95,23.6,2.71,5.88,8.34,51.44,20.43,9.2,4.71,5.18,26.06,73.94,10.05,5.38,3.86,473,"Most people pay between $250-499 for water & sewer annually"
"VT0005004",7193,67644,31441,3.49,6.42,83.23,0.25,0,1.1,5.51,4.15,2.27,23.08,26.56,5.82,5.27,10.65,45.33,17.34,9.63,11.79,6.94,38.11,61.89,16.77,8.08,2.77,378,"Most people pay between $250-499 for water & sewer annually"
"VT0005005",233,93854,39266,0.08,0.57,95.89,0,0,0.15,3.31,1.8,3.26,20.09,26.81,3.21,7.02,17.54,56.14,6.14,0,13.16,5.44,9.98,90.02,4.11,5.39,6.4,156,"Most people pay between $250-499 for water & sewer annually"
"VT0005006",130,93854,39266,0.08,0.57,95.89,0,0,0.15,3.31,1.8,3.26,20.09,26.81,3.21,7.02,17.54,56.14,6.14,0,13.16,5.44,9.98,90.02,4.11,5.39,6.4,517,"Most people pay between $250-499 for water & sewer annually"
"VT0005007",139,93536,39308,0.15,0.88,95.62,0,0,0.18,3.18,1.8,3.4,20.26,27.77,3.16,7.96,18,48.48,11.23,2.74,11.6,5.54,10.43,89.57,4.38,5.46,6.32,498,"Most people pay between $250-499 for water & sewer annually"
"VT0005010",2642,68158,23355,0.74,0.06,95.71,0.17,0,1.64,1.68,2.09,1.89,20.82,22.42,1.62,4.62,6.57,27.2,13.67,39.21,8.73,9.24,37.98,62.02,4.29,10.03,6.45,734,"Most people pay between $750-999 for water & sewer annually"
"VT0005012",77,71974,34955,0.34,0.72,93.47,0.42,0.48,0.58,4,2.78,6.39,27.63,20.25,2.77,10.24,13.83,64.32,3.04,4.15,4.43,7.48,20.1,79.9,6.53,7.58,8.69,105,"Most people pay between $250-499 for water & sewer annually"
"VT0005013",1090,72821,38609,3.3,1.05,91.66,0,0,0.09,3.9,3.46,5.11,20.02,26.8,4.44,13.03,10.61,31.21,18.79,7.27,19.09,5.32,13.14,86.86,8.34,7.13,4.93,224,"Most people pay between $250-499 for water & sewer annually"
"VT0005016",9148,51023,24839,0.67,1.9,94.25,0.04,0.28,0.57,2.3,1.89,4.25,28.85,19.26,5.45,1.75,3.19,14.55,4.87,29.13,46.51,13.3,42.24,57.76,5.75,14.03,3.63,1398,"Most people pay > $1000 for water & sewer annually"
"VT0005017",1684,65883,28250,0.3,2.11,91.5,0.31,0,1.88,3.89,2.65,4.03,29.51,22.8,3.52,9.85,21.76,25.51,18.54,13.66,10.67,16.36,30.38,69.62,8.5,11.39,7.27,383,"Most people pay between $250-499 for water & sewer annually"
"VT0005018",99,52300,19846,0.41,2.97,89.78,0,0,2.65,4.19,3.26,4.07,30.3,23.38,4.81,10.34,17.98,20.9,20.67,15.73,14.38,20.07,38.73,61.27,10.22,14.87,9.22,861,"Most people pay between $250-499 for water & sewer annually"
"VT0005020",321,64167,24706,0,1.8,94.49,0,0,0,3.71,3.96,3.96,28.01,27.95,2.84,4.17,10,32.5,27.5,25.83,0,13.1,16.02,83.98,5.51,10.39,5.1,221,"Most people pay between $250-499 for water & sewer annually"
"VT0005021",154,64167,24706,0,1.8,94.49,0,0,0,3.71,3.96,3.96,28.01,27.95,2.84,4.17,10,32.5,27.5,25.83,0,13.1,16.02,83.98,5.51,10.39,5.1,119,"Most people pay between $250-499 for water & sewer annually"
"VT0005022",2568,82514,22417,0.83,0,95.25,0,0,2.24,1.68,3.26,8.42,33.87,25.73,1.26,21.22,13.64,35.15,19.93,4.61,5.45,16.93,29.48,70.52,4.75,14.68,6.34,348,"Most people pay between $250-499 for water & sewer annually"
"VT0005024",70,79907,28676,0.54,3.72,92.25,0.78,0,0,2.71,0.23,1.94,29.69,34.86,0.97,35.29,17.65,0,17.65,29.41,0,5.19,8.7,91.3,7.75,4.5,3.41,44,"Most people pay < $125 for water & sewer annually"
"VT0005026",105,63654,29413,0,0,98.09,0.36,0,0.64,0.91,0.49,3.59,31.76,18.82,10.7,5.31,20.29,25.12,41.55,3.86,3.86,8.82,8.58,91.42,1.91,9.12,2.61,877,"Most people pay between $500-749 for water & sewer annually"
"VT0005027",48,63654,29413,0,0,98.09,0.36,0,0.64,0.91,0.49,3.59,31.76,18.82,10.7,5.31,20.29,25.12,41.55,3.86,3.86,8.82,8.58,91.42,1.91,9.12,2.61,519,"Most people pay between $500-749 for water & sewer annually"
"VT0005028",178,64881,30235,0,1.52,96.91,0,0,0,1.57,0.44,4.41,26,15.39,4.96,8.93,4.46,6.25,8.93,20.54,50.89,9.67,10.97,89.03,3.09,7.95,4.21,86,"Most people pay > $1000 for water & sewer annually"
"VT0005029",140,75577,34500,2.03,0,93.35,0.18,0,0,4.45,3.47,4.76,29.89,20.45,1.87,7.25,1.45,49.28,4.35,18.84,18.84,9.25,8.88,91.12,6.65,9.14,4.59,105,"Most people pay between $250-499 for water & sewer annually"
"VT0005031",37,NA,NA,2.03,0,93.35,0.18,0,0,4.45,3.47,4.76,29.89,20.45,1.87,7.25,1.45,49.28,4.35,18.84,18.84,9.25,8.88,91.12,6.65,9.14,4.59,321,"Most people pay between $250-499 for water & sewer annually"
"VT0005033",92,60139,25700,0,0,97.49,0.14,0,0.23,2.15,0.82,5.71,19.45,17.6,2.39,13.75,11.25,28.75,33.75,0,12.5,14.48,14.35,85.65,2.51,13.25,4.98,293,"Most people pay between $500-749 for water & sewer annually"
"VT0005037",344,62617,20911,0,0.51,96.09,0.51,0,0,2.9,0.97,5.2,28.36,22.81,0.09,4.73,17.16,25.44,13.61,31.95,7.1,7.34,23.14,76.86,3.91,7,1.34,131,"Most people pay between $750-999 for water & sewer annually"
"VT0005038",202,61116,29458,1.16,0,93.4,0,0,0,5.45,0.65,4.8,28.42,24.13,5.27,24.47,1.27,6.12,10.97,24.89,32.28,2.94,15.77,84.23,6.6,6.26,2.86,336,"Most people pay > $1000 for water & sewer annually"
"VT0005039",1001,61116,29458,1.16,0,93.4,0,0,0,5.45,0.65,4.8,28.42,24.13,5.27,24.47,1.27,6.12,10.97,24.89,32.28,2.94,15.77,84.23,6.6,6.26,2.86,648,"Most people pay > $1000 for water & sewer annually"
"VT0005040",2877,51210,22998,1.31,0,94.74,0,0,1.57,2.38,1.45,5.48,24.36,18.59,2.91,7.43,13.05,13.75,17.76,15.82,32.18,13.04,28.13,71.87,5.26,13.78,2.89,381,"Most people pay > $1000 for water & sewer annually"
"VT0005041",209,57534,24196,2.06,0,95.66,0,0,0.77,1.51,1.14,5.88,13.97,22.51,3.53,6.89,3.29,21.86,17.37,21.86,28.74,15.61,28.47,71.53,4.34,16.56,2.71,1142,"Most people pay > $1000 for water & sewer annually"
"VT0005042",37,62431,25034,0.7,0.83,95.15,0.1,0,0,3.22,2.26,2.69,29.81,24.66,4.74,15.52,15.52,6.9,25.86,9.48,26.72,9.47,14.8,85.2,4.85,11.49,5.05,137,"Most people pay > $1000 for water & sewer annually"
"VT0005043",74,62431,25034,0.7,0.83,95.15,0.1,0,0,3.22,2.26,2.69,29.81,24.66,4.74,15.52,15.52,6.9,25.86,9.48,26.72,9.47,14.8,85.2,4.85,11.49,5.05,469,"Most people pay > $1000 for water & sewer annually"
"VT0005045",5017,43785,16742,0.6,0.94,93.37,0.25,0,1.92,2.91,2.15,4.2,27.35,16.97,3.67,4.18,9.48,16.72,20.79,25.34,23.5,19.62,41.68,58.32,6.63,18.79,6.85,654,"Most people pay between $750-999 for water & sewer annually"
