"pwsid","total_pop","mhi","hh_inc_lowest_quintile","black_alone_per","asian_alone_per","white_alone_per","AIAN_alone_per","NAPI_alone_per","other_alone_per","mixed_alone_per","hisp_alone_per","ageunder_5_per","age_over_61_per","bachelors_per","laborforce_unemployed_per","water_rate_less_125_per","water_rate_between_125_249_per","water_rate_between_250_499_per","water_rate_between_500_749_per","water_rate_between_750_999_per","water_rate_over_1000_per","hh_below_pov_per","hh_rent_home_per","hh_own_home_per","poc_alone_per","pop_in_pov_per","no_health_insurance_per","epic_pop_density","most_common_rate_tidy"
"CT1090031",3889,67971,35401,6.05,2.46,89.33,0.07,0,0.86,1.24,2.52,8.25,23.08,10.72,2.88,7.15,17.98,27.54,34.44,6.14,6.76,3.88,20.12,79.88,10.67,3.26,4.41,971,"Most people pay between $500-749 for water & sewer annually"
"CT1090081",2855,72259,34694,2.83,1.52,90.56,0.63,0,0.04,4.42,3.48,6.47,19.19,10.49,5.89,3.11,15.88,42.82,18.24,7.07,12.87,11.14,29.73,70.27,9.44,10.61,3.96,1003,"Most people pay between $250-499 for water & sewer annually"
"CT1090161",109,71328,28986,4.45,1.46,86.16,1.28,0,0,6.64,6.34,5.42,19.8,8.58,8.89,3.58,16.21,37.2,30.72,10.58,1.71,10.95,29.16,70.84,13.84,10.6,3.69,1099,"Most people pay between $250-499 for water & sewer annually"
"CT1090221",63,73295,41044,1.24,1.56,95.13,0,0,0,2.07,0.41,7.51,18.6,12.39,2.89,2.46,15.88,50.28,2.84,2.65,25.9,11.24,29.94,70.06,4.87,10.38,4.22,883,"Most people pay between $250-499 for water & sewer annually"
"CT1094201",183,73295,41044,1.24,1.56,95.13,0,0,0,2.07,0.41,7.51,18.6,12.39,2.89,2.46,15.88,50.28,2.84,2.65,25.9,11.24,29.94,70.06,4.87,10.38,4.22,4958,"Most people pay between $250-499 for water & sewer annually"
"CT1099131",46,NA,NA,1.24,1.56,95.13,0,0,0,2.07,0.41,7.51,18.6,12.39,2.89,2.46,15.88,50.28,2.84,2.65,25.9,11.24,29.94,70.06,4.87,10.38,4.22,1066,"Most people pay between $250-499 for water & sewer annually"
"CT1099141",63,73295,41044,1.24,1.56,95.13,0,0,0,2.07,0.41,7.51,18.6,12.39,2.89,2.46,15.88,50.28,2.84,2.65,25.9,11.24,29.94,70.06,4.87,10.38,4.22,1570,"Most people pay between $250-499 for water & sewer annually"
"CT1099181",42,NA,NA,1.24,1.56,95.13,0,0,0,2.07,0.41,7.51,18.6,12.39,2.89,2.46,15.88,50.28,2.84,2.65,25.9,11.24,29.94,70.06,4.87,10.38,4.22,1011,"Most people pay between $250-499 for water & sewer annually"
"CT1100011",19002,76625,32292,2.62,4.83,83.39,0.71,0,5.5,2.95,11.33,3.52,24.44,17.24,3.13,10.04,7.7,27.15,28.32,14.42,12.37,7.55,31.43,68.57,16.61,6.57,4.27,2164,"Most people pay between $500-749 for water & sewer annually"
"CT1110011",7925,82763,34060,1.17,0.26,91.54,0.04,0,0.83,6.16,7.56,3.35,20.69,16.39,3.72,6.3,12.05,29.43,19.85,11.16,21.21,6.82,26.64,73.36,8.46,7.67,3.66,1332,"Most people pay between $250-499 for water & sewer annually"
"CT1120041",18,NA,NA,1.88,1.88,93.47,0.38,0.28,0.16,1.95,3.41,2.44,26.02,23.56,4.35,0,78.26,0,21.74,0,0,6.04,21.42,78.58,6.53,7.54,4.39,368,"Most people pay between $125-249 for water & sewer annually"
"CT1120051",163,93467,43333,1.88,1.88,93.47,0.38,0.28,0.16,1.95,3.41,2.44,26.02,23.56,4.35,0,78.26,0,21.74,0,0,6.04,21.42,78.58,6.53,7.54,4.39,290,"Most people pay between $125-249 for water & sewer annually"
"CT1120061",69,93467,43333,1.88,1.88,93.47,0.38,0.28,0.16,1.95,3.41,2.44,26.02,23.56,4.35,0,78.26,0,21.74,0,0,6.04,21.42,78.58,6.53,7.54,4.39,259,"Most people pay between $125-249 for water & sewer annually"
"CT1121011",7,NA,NA,1.88,1.88,93.47,0.38,0.28,0.16,1.95,3.41,2.44,26.02,23.56,4.35,0,78.26,0,21.74,0,0,6.04,21.42,78.58,6.53,7.54,4.39,147,"Most people pay between $125-249 for water & sewer annually"
"CT1121131",8,NA,NA,1.88,1.88,93.47,0.38,0.28,0.16,1.95,3.41,2.44,26.02,23.56,4.35,0,78.26,0,21.74,0,0,6.04,21.42,78.58,6.53,7.54,4.39,133,"Most people pay between $125-249 for water & sewer annually"
"CT1130011",6568,87886,40979,1.26,1.67,90.89,0,0,1.79,4.4,5.74,6.55,20.89,29.02,5.6,2.68,7.77,20.84,19.01,18.38,31.31,5.73,21.7,78.3,9.11,5.75,3.4,1235,"Most people pay > $1000 for water & sewer annually"
"CT1130021",113,131000,65307,0.03,3.52,94.2,0,0,1.17,1.08,0.31,4.22,19.02,32.69,6.92,5.18,9.51,39.64,21.25,6.34,18.08,2.12,13.46,86.54,5.8,3.92,2.02,697,"Most people pay between $250-499 for water & sewer annually"
"CT1140011",195,95553,47378,0.92,1.97,93.11,0.08,0,0.9,3.01,1.74,5.21,22.75,12.62,4.46,11.71,2.34,42.81,12.04,22.41,8.7,3.38,10.84,89.16,6.89,2.3,2.14,324,"Most people pay between $250-499 for water & sewer annually"
"CT1140021",31,NA,NA,0.92,1.97,93.11,0.08,0,0.9,3.01,1.74,5.21,22.75,12.62,4.46,11.71,2.34,42.81,12.04,22.41,8.7,3.38,10.84,89.16,6.89,2.3,2.14,405,"Most people pay between $250-499 for water & sewer annually"
"CT1150031",383,113167,52493,2.79,0.25,92.69,0,0,0.6,3.68,4.58,3.68,26.08,13.35,1.6,5.31,40.61,10.06,39.28,4.74,0,1.78,7.28,92.72,7.31,1.74,2.67,1779,"Most people pay between $125-249 for water & sewer annually"
"CT1160011",7222,60651,23195,1.28,0.72,88.9,0.01,0,5.53,3.56,10.17,5.53,18.51,10.18,4.94,3.61,3.44,4.41,8.02,26.57,53.95,11.11,46.46,53.54,11.1,7.69,7.26,1635,"Most people pay > $1000 for water & sewer annually"
"CT1160021",8,NA,NA,1.36,2.55,86.25,0.22,0,0.48,9.13,3.03,3.38,34.26,15.9,9.13,0,6.15,45.38,10,33.08,5.38,4.36,6.43,93.57,13.75,6.05,4.51,115,"Most people pay between $250-499 for water & sewer annually"
"CT1180011",10993,160958,59703,1.15,2.81,92.14,0.05,0,0.66,3.19,6.9,4.83,22.9,40.26,4.68,13.12,4.89,36.64,12.19,15.65,17.51,4.19,16.69,83.31,7.86,3.05,3.21,1028,"Most people pay between $250-499 for water & sewer annually"
