"pwsid","huc12","num_facilities","npdes_permits","total_permit_eff_viols","total_open_usts","total_facilities_w_rmps","streams_303d_list"
"CT0860011",11000030202,9,0,0,21,0,2
"CT0860021",11000030203,2,5,0,99,0,4
"CT0860031",11000030304,5,1,0,30,0,4
"CT0860041",11000030202,2,0,0,21,0,2
"CT0860051",11000030304,1,1,0,30,0,4
"CT0860081",11000030202,1,0,0,21,0,2
"CT0860091",11000030202,2,0,0,21,0,2
"CT0860131",11000030203,3,5,0,99,0,4
"CT0860141",11000030202,3,0,0,21,0,2
"CT0860171",11000030202,1,0,0,21,0,2
"CT0860211",11000030203,2,5,0,99,0,4
"CT0861021",11000030203,1,5,0,99,0,4
"CT0861051",11000030203,1,5,0,99,0,4
"CT0861111",11000030202,2,0,0,21,0,2
"CT0861251",11000030103,2,1,0,32,1,6
"CT0866301",11000030202,2,0,0,21,0,2
"CT0867071",11000030203,1,5,0,99,0,4
"CT0868011",11000030103,1,1,0,32,1,6
"CT0869011",11000030202,2,0,0,21,0,2
"CT0869121",11000030202,2,0,0,21,0,2
"CT0878011",11000050702,1,3,0,22,0,0
"CT0878021",11000051104,3,0,0,0,0,1
"CT0880011",11000051205,5,2,0,137,0,6
"CT0880011",11000051207,11,4,0,57,0,3
"CT0880031",11000051204,1,0,0,22,0,2
"CT0880031",11000051205,1,2,0,137,0,6
"CT0890011",10802050601,6,0,0,55,1,8
"CT0890011",10802070402,1,1,0,11,0,0
"CT0890011",10802070403,27,0,0,5,0,1
"CT0890011",11000040101,1,0,0,17,0,0
"CT0890011",11000040103,1,3,0,211,2,14
"CT0910011",11000050601,5,1,0,9,0,2
"CT0910011",20301010203,5,1,0,4,0,1
"CT0910021",20301010203,2,1,0,4,0,1
"CT0910031",11000050601,3,1,0,9,0,2
"CT0910041",11000050601,3,1,0,9,0,2
"CT0910081",11000050601,5,1,0,9,0,2
"CT0910591",11000050601,1,1,0,9,0,2
"CT0911061",11000050601,1,1,0,9,0,2
"CT0911091",11000050601,2,1,0,9,0,2
"CT0915221",11000050601,3,1,0,9,0,2
"CT0920011",10802070204,1,1,0,13,0,2
"CT0920041",10802070204,1,1,0,13,0,2
"CT0930011",11000040103,4,3,0,211,2,14
"CT0930011",11000040202,1,0,0,15,0,2
"CT0930011",11000040204,1,1,0,33,0,0
"CT0930011",11000040205,2,0,0,57,0,2
"CT0930011",11000040206,2,0,0,56,0,6
"CT0930011",11000040301,10,1,0,84,0,4
"CT0930011",11000040302,11,1,0,50,0,5
"CT0930011",11000051003,5,1,0,51,0,5
"CT0950011",11000030203,1,5,0,99,0,4
"CT0950011",11000030304,6,1,0,30,0,4
"CT0960011",11000050601,7,1,0,9,0,2
"CT0960011",11000050604,5,2,0,31,0,2
"CT0960011",11000050802,12,3,0,65,0,3
"CT0960031",11000050604,2,2,0,31,0,2
"CT0960061",11000050601,3,1,0,9,0,2
"CT0960071",11000050601,5,1,0,9,0,2
"CT0960091",11000050601,3,1,0,9,0,2
"CT0960101",11000050802,4,3,0,65,0,3
"CT0960141",11000050601,2,1,0,9,0,2
"CT0960141",11000050802,1,3,0,65,0,3
"CT0960151",11000050604,2,2,0,31,0,2
"CT0960161",11000050803,3,1,0,12,0,2
"CT0960171",11000050803,2,1,0,12,0,2
"CT0960191",11000050803,4,1,0,12,0,2
"CT0960201",11000050703,7,0,0,9,0,1
"CT0960211",11000050601,2,1,0,9,0,2
"CT0960301",11000050803,4,1,0,12,0,2
"CT0968011",11000050604,2,2,0,31,0,2
"CT0969361",11000050602,3,0,0,8,0,1
"CT0970011",11000051001,2,1,0,32,0,4
"CT0970021",11000051001,2,1,0,32,0,4
"CT0970071",11000051001,2,1,0,32,0,4
"CT0971011",11000051001,8,1,0,32,0,4
"CT0980011",11000050304,2,2,0,0,0,0
"CT0990011",10802050602,1,1,0,21,0,2
"CT0990031",11000040206,1,0,0,56,0,6
"CT1000011",11000050303,4,1,0,18,0,3
"CT1020011",11000030303,1,3,0,100,0,7
"CT1020021",10900050302,2,0,0,7,0,0
"CT1021001",10900050302,3,0,0,7,0,0
"CT1021001",11000030303,1,3,0,100,0,7
"CT1030011",11000060201,6,2,0,2,0,0
"CT1030011",11000060202,5,3,0,158,1,10
"CT1030021",11000060201,3,2,0,2,0,0
"CT1030021",11000060202,1,3,0,158,1,10
"CT1030021",11000060404,1,2,0,177,0,11
"CT1040011",11000030101,2,0,0,0,0,1
"CT1040011",11000030103,1,1,0,32,1,6
"CT1040011",11000030202,2,0,0,21,0,2
"CT1040091",11000020303,2,2,0,24,0,4
"CT1041001",11000020303,3,2,0,24,0,4
"CT1050011",11000030306,3,1,0,26,0,2
"CT1050131",10802050905,2,0,0,49,0,5
"CT1050141",10802050905,1,0,0,49,0,5
"CT1050732",11000030306,12,1,0,26,0,2
"CT1050752",11000030306,5,1,0,26,0,2
"CT1051011",10802050905,1,0,0,49,0,5
"CT1056221",10802050905,1,0,0,49,0,5
"CT1056231",10802050905,1,0,0,49,0,5
"CT1056241",10802050905,3,0,0,49,0,5
"CT1059251",10802050905,2,0,0,49,0,5
"CT1090031",11000010702,2,2,0,10,0,0
"CT1090081",11000010403,3,3,0,32,0,3
"CT1090161",11000010702,1,2,0,10,0,0
"CT1090221",11000010503,2,2,0,30,0,0
"CT1094201",11000010503,1,2,0,30,0,0
"CT1099131",11000010503,1,2,0,30,0,0
"CT1099141",11000010503,1,2,0,30,0,0
"CT1099181",11000010503,2,2,0,30,0,0
"CT1100011",10802070404,2,1,0,141,1,5
"CT1100011",11000040103,2,3,0,211,2,14
"CT1110011",10802070404,3,1,0,141,1,5
"CT1120041",11000010403,1,3,0,32,0,3
"CT1120051",11000010402,1,0,0,2,0,2
"CT1120061",11000010403,3,3,0,32,0,3
"CT1121011",11000010402,1,0,0,2,0,2
"CT1121131",11000010401,2,0,0,3,0,4
"CT1130011",10802050506,1,1,0,39,1,2
"CT1130021",10802050702,3,4,0,66,1,4
"CT1140011",11000030201,2,0,0,17,0,2
"CT1140021",11000030201,1,0,0,17,0,2
"CT1150031",11000040301,3,1,0,84,0,4
"CT1160011",11000010401,1,0,0,3,0,4
"CT1160011",11000010403,9,3,0,32,0,3
"CT1160021",11000010403,2,3,0,32,0,3
"CT1180011",11000060202,2,3,0,158,1,10
"CT1180011",20301010301,3,1,0,0,0,1
"CT1180011",20301010303,4,7,0,0,0,3
"CT1180021",11000060102,5,0,0,8,0,0
"CT1180041",11000050801,3,0,0,132,1,5
"CT1180091",20301010301,1,1,0,0,0,1
"CT1200071",11000050703,2,0,0,9,0,1
"CT1210011",11000030101,1,0,0,0,0,1
"CT1210021",11000030304,4,1,0,30,0,4
"CT1219111",11000030101,1,0,0,0,0,1
"CT1220011",11000050305,10,0,0,5,0,1
"CT1220061",11000050306,2,0,0,3,0,3
"CT1221031",11000050502,1,0,0,12,0,0
"CT1240011",11000051206,6,1,0,25,0,0
"CT1250011",11000050502,4,0,0,12,0,0
"CT1250021",11000050501,2,4,0,26,0,0
"CT1270021",20301010203,1,1,0,4,0,1
"CT1280011",10802070602,3,1,0,68,0,2
"CT1280021",10802070601,2,0,0,25,0,0
"CT1280021",10802070602,5,1,0,68,0,2
"CT1280051",10802070602,1,1,0,68,0,2
"CT1300011",11000050903,2,0,0,34,0,2
"CT1300021",11000050903,5,0,0,34,0,2
"CT1300031",11000051003,2,1,0,51,0,5
"CT1300071",11000051003,1,1,0,51,0,5
"CT1310011",11000040102,5,0,0,29,1,3
"CT1310011",11000040103,5,3,0,211,2,14
"CT1310031",11000040103,1,3,0,211,2,14
"CT1330021",11000020303,5,2,0,24,0,4
"CT1340011",11000020104,4,3,0,9,0,1
"CT1340032",11000020101,4,0,0,0,0,0
"CT1341303",11000020103,1,0,0,0,0,0
"CT1350011",11000060401,5,3,0,39,0,3
"CT1360011",11000010503,3,2,0,30,0,0
"CT1370011",11000030301,1,1,0,9,0,1
"CT1370011",11000030303,3,3,0,100,0,7
"CT1370071",11000030303,2,3,0,100,0,7
"CT1390021",10802060304,2,4,0,13,0,4
"CT1400011",11000051104,3,0,0,0,0,1
"CT1410011",11000010204,4,0,0,15,0,2
"CT1410051",11000010204,2,0,0,15,0,2
"CT1410661",11000010204,1,0,0,15,0,2
"CT1411041",11000010105,2,2,0,4,0,3
"CT1419071",11000010204,1,0,0,15,0,2
"CT1419071",11000010403,2,3,0,32,0,3
"CT1419081",11000010204,2,0,0,15,0,2
"CT1420021",11000020108,3,2,0,83,0,1
"CT1420041",10802050401,3,1,0,60,0,6
"CT1420081",11000020105,1,0,0,15,0,0
"CT1423011",11000020108,2,2,0,83,0,1
"CT1429171",10802050401,2,1,0,60,0,6
"CT1429201",11000020108,2,2,0,83,0,1
"CT1430011",11000051101,6,0,0,2,0,1
"CT1440021",11000060301,1,1,0,151,0,4
"CT1463011",10802050401,3,1,0,60,0,6
"CT1470011",11000010601,2,0,0,8,0,1
"CT1479021",11000010601,1,0,0,8,0,1
"CT1480011",11000040104,2,1,0,10,1,2
"CT1480011",11000040105,3,4,0,219,3,10
"CT1480011",11000040204,1,1,0,33,0,0
"CT1480011",11000040206,2,0,0,56,0,6
"CT1490021",11000050602,2,0,0,8,0,1
"CT1500011",11000050602,2,0,0,8,0,1
"CT1500021",11000050703,4,0,0,9,0,1
"CT1500031",11000050703,3,0,0,9,0,1
"CT1500051",11000050703,6,0,0,9,0,1
"CT1500091",11000050703,2,0,0,9,0,1
"CT1500321",11000050703,3,0,0,9,0,1
"CT1500341",11000050602,2,0,0,8,0,1
"CT1501111",11000050702,2,3,0,22,0,0
"CT1510011",11000050701,2,0,0,0,0,0
"CT1510011",11000051104,7,0,0,0,0,1
"CT1520061",11000030203,2,5,0,99,0,4
"CT1530011",11000050901,8,0,0,6,0,0
"CT1548011",11000040201,3,0,0,0,0,0
"CT1570011",11000060102,2,0,0,8,0,0
"CT1600031",11000020108,4,2,0,83,0,1
"CT1600041",11000020108,4,2,0,83,0,1
"CT1600051",11000020205,3,1,0,7,0,0
"CT1600061",11000020108,1,2,0,83,0,1
"CT1600071",11000020108,1,2,0,83,0,1
"CT1600101",11000020204,2,0,0,25,0,1
"CT1606111",11000020108,1,2,0,83,0,1
"CT1606211",11000020108,1,2,0,83,0,1
"CT1609141",11000020204,4,0,0,25,0,1
"CT1620011",10802070101,3,0,0,25,0,0
"CT1630011",11000020206,3,0,0,15,0,3
"CT1630021",11000020303,2,2,0,24,0,4
"CT1631031",11000020303,2,2,0,24,0,4
"CT1660011",11000051203,1,0,0,50,0,3
"CT1662051",11000051203,3,0,0,50,0,3
"CT1666011",11000051203,3,0,0,50,0,3
"CT1669011",11000051203,2,0,0,50,0,3
"CT1680011",11000050901,2,0,0,6,0,0
"CT1680011",11000050903,2,0,0,34,0,2
"CT1680021",11000050903,1,0,0,34,0,2
"CT1680031",11000050903,3,0,0,34,0,2
"CT1680031",11000051003,1,1,0,51,0,5
"CT1680041",11000050901,4,0,0,6,0,0
"CT1680051",11000050903,1,0,0,34,0,2
"CT1680061",11000050903,1,0,0,34,0,2
"CT1680071",11000050903,1,0,0,34,0,2
"CT1690021",11000010401,2,0,0,3,0,4
"CT1690031",11000010401,1,0,0,3,0,4
"CT1691171",11000010401,1,0,0,3,0,4
"CT1698011",11000010401,2,0,0,3,0,4
"CT1698041",11000010401,2,0,0,3,0,4
"CT1698051",11000010401,2,0,0,3,0,4
"CT1699011",11000010401,2,0,0,3,0,4
"CT1699081",11000010105,2,2,0,4,0,3
"RI1000009",10900040605,2,1,0,7,0,1
"RI1000035",10900050403,3,2,0,11,0,3
