"pwsid","date_issued","date_lifted","epic_date_lifted_flag","type","state"
"LA1003007   ","2020-08-23","2020-08-28","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003007   ","2020-09-19","2020-09-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003007   ","2020-10-14","2020-10-16","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003007   ","2020-12-04","2020-12-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003007   ","2020-05-22","2020-05-23","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003009   ","2020-08-15","2020-08-16","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003009   ","2020-09-03","2020-09-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003009   ","2020-09-18","2020-09-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003009   ","2020-10-25","2020-10-26","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003009   ","2020-12-03","2020-12-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003009   ","2020-04-22","2020-04-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-07-22","2020-07-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-08-06","2020-08-06","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-08-07","2020-08-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-08-08","2020-08-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-08-19","2020-08-20","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-08-22","2020-08-23","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-08-23","2020-08-27","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-08-23","2020-08-27","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-08-28","2020-08-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-09-13","2020-09-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-10-03","2020-10-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-10-13","2020-10-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-10-24","2020-10-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-10-27","2020-10-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-10-29","2020-10-31","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-11-01","2020-11-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-11-04","2020-11-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-11-07","2020-11-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-11-12","2020-11-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-11-22","2020-11-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-12-12","2020-12-12","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-03-10","2020-03-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-03-24","2020-03-26","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-04-07","2020-04-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003010   ","2020-07-08","Open","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003011   ","2020-08-13","2020-08-16","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003011   ","2020-09-03","2020-09-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1005005   ","2020-07-05","2020-07-10","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-07-31","2020-08-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-09-25","2020-09-28","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-10-21","2020-10-23","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-10-30","2020-10-31","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-11-25","2020-11-27","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-01-06","2020-01-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-03-27","2020-03-27","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-03-27","2020-03-28","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-04-02","2020-04-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-04-08","2020-04-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-04-11","2020-04-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-04-14","2020-04-16","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-04-15","2020-04-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-04-17","2020-04-17","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-04-22","2020-04-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-04-23","2020-04-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-04-24","2020-04-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-05-06","2020-05-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1007001   ","2020-06-03","2020-06-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009002   ","2020-08-07","2020-08-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009002   ","2020-08-13","2020-08-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009002   ","2020-10-09","2020-10-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009002   ","2020-10-28","2020-10-30","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009002   ","2020-02-03","2020-02-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009002   ","2020-02-28","2020-03-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009002   ","2020-03-05","2020-03-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009003   ","2020-07-17","2020-07-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009006   ","2020-08-05","2020-08-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009006   ","2020-08-14","2020-08-20","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009006   ","2020-10-23","2020-10-23","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009006   ","2020-10-23","2020-10-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009006   ","2020-12-27","2020-01-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009006   ","2020-03-26","2020-04-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009006   ","2020-04-11","2020-04-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009006   ","2020-04-16","2020-04-17","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009006   ","2020-05-02","2020-05-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009006   ","2020-05-16","2020-05-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009008   ","2020-07-16","2020-07-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009008   ","2020-08-19","2020-08-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009008   ","2020-09-20","2020-09-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009008   ","2020-10-30","2020-11-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009008   ","2020-03-11","2020-03-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009008   ","2020-03-13","2020-03-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009008   ","2020-04-30","2020-05-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009010   ","2020-06-03","2020-06-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009010   ","2020-06-09","2020-06-10","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009011   ","2020-09-16","2020-09-17","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009011   ","2020-03-19","2020-03-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009011   ","2020-07-02","2020-07-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009012   ","2020-10-07","2020-10-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009012   ","2020-12-02","2020-12-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009014   ","2020-11-14","2020-11-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009014   ","2020-04-03","2020-04-10","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009014   ","2020-04-16","2020-04-17","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009014   ","2020-05-30","2020-06-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009014   ","2020-06-09","2020-06-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009017   ","2020-07-06","2020-07-09","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009017   ","2020-07-23","2020-07-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009017   ","2020-07-30","2020-08-01","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009017   ","2020-08-13","2020-08-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009017   ","2020-11-20","2020-11-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009017   ","2020-11-25","2020-11-27","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009017   ","2020-07-01","2020-07-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009020   ","2020-09-16","2020-09-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1009020   ","2020-07-03","2020-07-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1011001   ","2020-06-17","2020-06-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1011004   ","2020-07-08","2020-07-12","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1011004   ","2020-07-16","2020-07-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
