"pwsid","pw_int_hh.redlining","pw_int_pop.life_expectancy","pw_int_pop.cancer","a_int.overall_cvi_score"
"CT0340081",0,85.3,7.4,0.41
"CT0340111",0,83.4,7.3,0.4
"CT0340131",0,83.4,7.3,0.41
"CT0340141",NA,NA,NA,0.4
"CT0340151",0,82.6,7.4,0.47
"CT0340171",0,82.1,7.3,0.44
"CT0340181",0,82.5,7.4,0.46
"CT0340191",0,83.4,7.3,0.41
"CT0340211",0,82.1,7.3,0.44
"CT0340231",0,83.4,7.3,0.4
"CT0340251",0,82.5,7.4,0.44
"CT0340271",0,82.8,5.4,0.44
"CT0347031",0,82.1,7.3,0.44
"CT0350011",0,84.9,7.7,0.42
"CT0378011",0,80.3,8,0.5
"CT0380021",0,81.1,7.7,0.41
"CT0380641",NA,NA,NA,0.41
"CT0380651",NA,NA,NA,0.41
"CT0381011",NA,NA,NA,0.41
"CT0400031",0,83.4,7.7,0.44
"CT0400041",0,83.4,7.7,0.44
"CT0400051",NA,NA,NA,0.44
"CT0400061",NA,NA,NA,0.44
"CT0408011",0,83.4,7.7,0.44
"CT0410744",0,81.5,7.6,0.39
"CT0411061",NA,NA,NA,0.39
"CT0413011",NA,NA,NA,0.39
"CT0418011",0,85.9,7.6,0.38
"CT0419211",0,85.9,7.6,0.38
"CT0419241",0,78.7,8.1,0.47
"CT0420011",0,84.3,7.2,0.39
"CT0420021",0,84.3,7.2,0.39
"CT0420031",NA,NA,NA,0.39
"CT0420071",NA,NA,NA,0.39
"CT0421001",NA,NA,NA,0.4
"CT0421011",0,82.7,8,0.41
"CT0424011",0,82.7,8,0.41
"CT0427011",NA,NA,NA,0.39
"CT0427021",0,84.3,7.2,0.39
"CT0428031",0,84.3,7.2,0.39
"CT0429011",0,81.5,7.1,0.38
"CT0429031",0,81.3,7.5,0.4
"CT0429121",0,79.7,7,0.38
"CT0450011",0,80.9,8,0.43
"CT0470021",0,80.7,7.1,0.46
"CT0470071",0,80.7,7.1,0.46
"CT0473011",0,79.9,7.2,0.44
"CT0490021",0,79.8,8,0.44
"CT0490031",0,NA,4.4,0.45
"CT0490041",0,NA,5.3,0.48
"CT0500011",0,82.1,9.7,0.4
"CT0500021",0,82.1,9.7,0.4
"CT0501001",0,82.1,9.7,0.4
"CT0520011",0,81.9,7.8,0.42
"CT0529051",0,80.9,8.3,0.43
"CT0550011",0,82.6,8.7,0.38
"CT0550321",NA,NA,NA,0.38
"CT0560011",0,81.5,9.2,0.41
"CT0570011",0,79.1,8.2,0.47
"CT0579143",0,81,9.9,0.42
"CT0580011",0,75.9,6.4,0.5
"CT0580021",0,80.1,6.8,0.46
"CT0580031",0,80.1,6.8,0.46
"CT0580041",0,80.1,6.8,0.46
"CT0580051",0,80.1,6.8,0.46
"CT0580061",0,75.4,6.4,0.53
"CT0590011",0,78.8,5.9,0.47
"CT0590031",0,77.5,10.4,0.42
"CT0590051",0,NA,10.4,0.41
"CT0590071",0,81.9,7.3,0.48
"CT0597021",0,77.5,6.9,0.53
"CT0600041",0,84.6,7.6,0.4
"CT0606011",0,84.6,7.6,0.4
"CT0608011",0,81.3,9.4,0.43
"CT0614021",NA,NA,NA,0.4
"CT0640011",1,79.6,6.9,0.46
"CT0660341",0,81.1,8.5,0.41
"CT0670011",0,82.7,7.2,0.36
"CT0670021",NA,NA,NA,0.36
"CT0670041",NA,NA,NA,0.36
"CT0670051",0,86.1,6.9,0.35
"CT0670331",0,84.5,6.9,0.37
"CT0671021",NA,NA,NA,0.34
"CT0672021",0,86.1,6.9,0.34
"CT0672031",0,83.5,7.1,0.36
"CT0680011",0,81.6,9.3,0.42
"CT0680021",NA,81.6,9.3,0.42
"CT0680031",0,81.6,9.3,0.42
"CT0680082",0,81.6,9.3,0.42
"CT0688011",0,81.6,9.3,0.42
"CT0690011",0,77.6,7.5,0.47
"CT0690051",0,80,7.3,0.44
"CT0690061",0,80,7.3,0.44
"CT0690071",0,79.4,7.6,0.46
"CT0690141",NA,NA,NA,0.44
"CT0699231",0,NA,7.3,0.42
"CT0700011",0,84.5,8.6,0.39
"CT0709133",0,81.1,7.7,0.41
"CT0710011",0,79.8,7.1,0.41
"CT0710021",0,79.8,7.1,0.41
"CT0711001",NA,NA,NA,0.41
"CT0711071",NA,NA,NA,0.41
"CT0720011",0,80.6,6.8,0.44
"CT0720041",0,83.2,7.3,0.46
"CT0720101",NA,NA,NA,0.46
"CT0720313",NA,NA,NA,0.44
"CT0727031",0,80.6,6.8,0.44
"CT0727051",0,83.2,7.3,0.46
"CT0727091",0,80.6,6.8,0.44
"CT0730021",0,81.2,7.6,0.47
"CT0730031",0,81.2,7.6,0.47
"CT0731011",NA,NA,NA,0.47
"CT0731021",0,79.3,7.7,0.43
"CT0740011",0,82.1,9,0.42
"CT0740301",NA,NA,NA,0.42
"CT0743011",0,81.2,8.9,0.4
"CT0745093",0,78.2,8.8,0.45
"CT0760021",0,82.9,8.4,0.42
"CT0765101",0,82.8,8.6,0.42
"CT0770021",0,79.5,6.6,0.44
"CT0770041",0,80.2,6.7,0.47
"CT0780021",0,82,1.4,0.41
"CT0780041",NA,NA,NA,0.41
"CT0780051",NA,NA,NA,0.41
"CT0780061",0,NA,3.7,0.42
"CT0780081",NA,NA,NA,0.39
"CT0780091",0,NA,3.7,0.42
"CT0780101",0,NA,3.7,0.42
"CT0780121",0,81.9,6.5,0.41
"CT0780131",NA,NA,NA,0.39
"CT0780161",NA,NA,NA,0.4
