"pwsid","total_pop_pct_change_2011_2021","laborforce_unemployed_pct_change_2011_2021","mhi_pct_change_2011_2021","hh_inc_lowest_quintile_pct_change_2011_2021","hh_total_pct_change_2011_2021","hh_below_pov_pct_change_2011_2021","poc_alone_per_pct_change_2011_2021","pop_in_pov_per_pct_change_2011_2021","income_change_flag","population_change_flag","total_pop_pct_change_2011_2021_cap","mhi_pct_change_2011_2021_cap"
"CT0340231",6.59,-58.33,13.83,-2.48,3,100,56.25,0,"Increase in income the last 10 years","Increase in people the last 10 years",6.59,13.83
"CT0340251",6.5,-45,-6.58,-2.94,-2.6,-55.56,44,-55.56,"Decrease in income the last 10 years","Increase in people the last 10 years",6.5,-6.58
"CT0340271",-5.3,-16.67,-35.54,-30.77,-4.21,20,45,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-5.3,-35.54
"CT0347031",68.06,0,-1.4,69.01,81.54,-71.43,60,-75,"Decrease in income the last 10 years","Increase in people the last 10 years",68.06,-1.4
"CT0350011",-7.19,-6.67,13.41,23.38,-9.5,700,122.22,100,"Increase in income the last 10 years","Decrease in people the last 10 years",-7.19,13.41
"CT0378011",5.57,13.79,-7.57,11.45,8.45,85.96,55.56,133.33,"Decrease in income the last 10 years","Increase in people the last 10 years",5.57,-7.57
"CT0380021",-1.2,11.11,6.15,-2.67,20.18,250,0,300,"Increase in income the last 10 years","Decrease in people the last 10 years",-1.2,6.15
"CT0380641",0,0,NA,NA,14.29,NA,0,300,NA,NA,0,NA
"CT0380651",-2.27,0,NA,NA,20,NA,0,300,NA,"Decrease in people the last 10 years",-2.27,NA
"CT0381011",-5,0,NA,NA,14.29,NA,0,300,NA,"Decrease in people the last 10 years",-5,NA
"CT0400031",2.7,0,29.82,-14.57,-6.67,0,90.91,33.33,"Increase in income the last 10 years","Increase in people the last 10 years",2.7,29.82
"CT0400041",1.67,0,NA,NA,-6.25,-50,90.91,33.33,NA,"Increase in people the last 10 years",1.67,NA
"CT0400051",1.94,0,NA,NA,-6.45,-33.33,90.91,33.33,NA,"Increase in people the last 10 years",1.94,NA
"CT0400061",1.72,0,NA,NA,-4.35,0,90.91,33.33,NA,"Increase in people the last 10 years",1.72,NA
"CT0408011",1.9,0,NA,NA,-7.14,-50,90.91,33.33,NA,"Increase in people the last 10 years",1.9,NA
"CT0410744",-0.93,-33.33,-7.08,-43.75,6.98,-50,0,-25,"Decrease in income the last 10 years","Decrease in people the last 10 years",-0.93,-7.08
"CT0411061",-6.25,0,NA,NA,16.67,NA,0,-25,NA,"Decrease in people the last 10 years",-6.25,NA
"CT0413011",-1.45,-50,NA,NA,3.57,0,0,-25,NA,"Decrease in people the last 10 years",-1.45,NA
"CT0418011",0,0,NA,NA,10,NA,150,0,NA,NA,0,NA
"CT0419211",-1.64,0,-5.86,30.24,8.7,0,150,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-1.64,-5.86
"CT0419241",NA,NA,NA,NA,NA,NA,NA,NA,"Not Enough Data - Operating < 10 years","Not Enough Data - Operating < 10 years",NA,NA
"CT0420011",4.49,-14.29,-12.99,-13.96,-2.7,100,200,50,"Decrease in income the last 10 years","Increase in people the last 10 years",4.49,-12.99
"CT0420021",3.86,-10,-12.99,-13.96,-2.8,66.67,200,50,"Decrease in income the last 10 years","Increase in people the last 10 years",3.86,-12.99
"CT0420031",4.44,0,NA,NA,-2.7,100,200,50,NA,"Increase in people the last 10 years",4.44,NA
"CT0420071",10.26,0,NA,NA,0,NA,266.67,66.67,NA,"Increase in people the last 10 years",10.26,NA
"CT0421001",-15.85,0,NA,NA,-3.7,0,-11.11,0,NA,"Decrease in people the last 10 years",-15.85,NA
"CT0421011",-23.21,0,11.74,20.49,-5.88,-100,-45.45,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-23.21,11.74
"CT0424011",-22.31,0,11.74,20.49,-5.56,-50,-45.45,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-22.31,11.74
"CT0427011",-0.79,-20,NA,NA,-4,0,120,50,NA,"Decrease in people the last 10 years",-0.79,NA
"CT0427021",4.08,-9.09,-12.99,-13.96,-3.28,50,200,50,"Decrease in income the last 10 years","Increase in people the last 10 years",4.08,-12.99
"CT0428031",2.85,-8.33,-12.99,-13.96,-3.1,50,200,50,"Decrease in income the last 10 years","Increase in people the last 10 years",2.85,-12.99
"CT0429011",12.68,0,-1.33,-8.93,5.88,0,300,33.33,"Decrease in income the last 10 years","Increase in people the last 10 years",12.68,-1.33
"CT0429031",-4.43,7.69,6.91,3.09,2.19,-40,-14.29,0,"Increase in income the last 10 years","Decrease in people the last 10 years",-4.43,6.91
"CT0429121",15.98,0,2.92,-8.35,9.58,-25,250,0,"Increase in income the last 10 years","Increase in people the last 10 years",15.98,2.92
"CT0450011",-1.43,-16.7,3.41,-12.2,7.95,71.95,33.33,100,"Increase in income the last 10 years","Decrease in people the last 10 years",-1.43,3.41
"CT0470021",9.58,-60,29.13,14.67,6.25,50,61.54,160,"Increase in income the last 10 years","Increase in people the last 10 years",9.58,29.13
"CT0470071",9.18,-50,29.13,14.67,8.11,50,61.54,160,"Increase in income the last 10 years","Increase in people the last 10 years",9.18,29.13
"CT0473011",0.88,-20.87,9.45,-0.2,5.71,27.19,53.33,28.57,"Increase in income the last 10 years","Increase in people the last 10 years",0.88,9.45
"CT0490021",-7.27,-39.58,6.68,-1.23,0.85,10.7,75,20,"Increase in income the last 10 years","Decrease in people the last 10 years",-7.27,6.68
"CT0490031",-25.52,-50,0.65,18.23,7.32,0,-15.38,-25,"Increase in income the last 10 years","Decrease in people the last 10 years",-25.52,0.65
