"pwsid","pws_name","primacy_agency","pop_cat_5","population_served_count","service_connections_count","service_area_type","symbology_field","detailed_facility_report","ewg_report_link","epic_area_mi2"
"RI2674925","Charlestown Cedars Llc","RI","<=500",150,74,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2674925&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2674925",0.02
"RI2674928","Ninigret Realty","RI","<=500",109,21,"Interstate Carrier","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2674928&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2674928",0.09
"RI2753326","Meadowlark, Inc.","RI","<=500",183,73,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2753326&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2753326",0.06
"RI2942525","Hillsdale Housing Cooperative, Inc.","RI","<=500",170,104,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2942525&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2942525",0.19
"RI2943224","Village On Chopmist Hill, The","RI","<=500",250,86,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2943224&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2943224",0.05
"RI2973130","Maplehill Mobile Home Park","RI","501-3,300",750,200,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2973130&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2973130",0.07
"RI2980001","Four Seasons Mhp Co-Op Assn.","RI","<=500",40,24,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980001&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980001",0.01
"RI2980003","Lawrence Sunset Cove Association","RI","<=500",36,21,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980003&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980003",0
"RI2980017","Church Woods","RI","<=500",98,28,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980017&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980017",0.29
"RI2980146","Laurel Crest Glocester Housing Authority","RI","<=500",43,5,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980146&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980146",0.08
"RI2980323","Jemp 1 Llc","RI","<=500",28,1,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980323&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980323",0.15
"RI2980414","Echo Lake Water District","RI","<=500",160,64,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980414&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980414",0.09
"RI2980423","Saugatucket Springs","RI","<=500",110,1,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980423&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980423",0.28
"RI2980426","Shadow Woods At Deer Brook","RI","<=500",300,130,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980426&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980426",0.27
"RI2980447","Rockville Mill Hopkinton, Llc","RI","<=500",28,2,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980447&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980447",0.17
"RI2980452","Cne - Hopkins Hill Road Entry Point","RI","<=500",317,28,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980452&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980452",0.28
"RI2980453","Cne - New London Turnpike Entry Point","RI","3,301-10,000",9999,97,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980453&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980453",0.63
"RI2980473","Hopkinton, Town Of","RI","<=500",125,52,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980473&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980473",0.19
"RI2980475","Exeter Job Corps Center","RI","<=500",300,1,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980475&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980475",0.03
"RI2980476","Dowling Village","RI","501-3,300",2720,16,"Retail Employees","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980476&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980476",0.43
"RI2980487","South Trail Commerce","RI","<=500",175,11,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2980487&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2980487",0.06
"VT0000196","Vista Senior Living","VT","<=500",237,1,"Hotel/Motel","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0000196&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0000196",0.14
"VT0005001","Tri Town Water District","VT","3,301-10,000",3800,1800,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005001&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005001",115.45
"VT0005002","Bristol Water Dept","VT","501-3,300",2103,695,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005002&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005002",1.59
"VT0005003","East Middlebury Fd 1","VT","501-3,300",642,260,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005003&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005003",1.57
"VT0005004","Middlebury Water Dept","VT","3,301-10,000",9379,2368,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005004&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005004",19.05
"VT0005005","Starksboro Village Water Coop","VT","<=500",350,57,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005005&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005005",1.5
"VT0005006","Brookside Mhp","VT","<=500",135,51,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005006&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005006",0.25
"VT0005007","Lazy Brook Mhp","VT","<=500",205,81,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005007&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005007",0.28
"VT0005010","Vergennes Panton Water District","VT","3,301-10,000",5100,2140,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005010&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005010",3.6
"VT0005012","Whiting Water Corp","VT","<=500",61,24,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005012&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005012",0.74
"VT0005013","Arlington Water Dept","VT","501-3,300",1250,526,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005013&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005013",4.88
"VT0005016","Bennington Water Dept","VT","10,001-100,000",13250,6911,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005016&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005016",6.54
"VT0005017","North Bennington Water Dept","VT","501-3,300",1700,674,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005017&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005017",4.4
"VT0005018","West Road Mhp","VT","<=500",105,40,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005018&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005018",0.12
